600917.SH-------------------G8买2 pro-1--重庆燃气
600968.SH-------------------G8买2 pro-1--强势股票----海油发展
600982.SH-------------------G8买2 pro-1--强势股票----宁波能源
601208.SH-------------------G8买2 pro-1--强势股票----东材科技
601225.SH-------------------G8买2 pro-1--陕西煤业
601258.SH-------------------G8买2 pro-1--庞大集团
601339.SH-------------------G8买2 pro-1--强势股票----百隆东方
601377.SH-------------------G8买2 pro-1--强势股票----兴业证券
601766.SH-------------------G8买2 pro-1--中国中车
601899.SH-------------------G8买2 pro-1--紫金矿业
601985.SH-------------------G8买2 pro-1--强势股票----中国核电
601991.SH-------------------G8买2 pro-1--强势股票----大唐发电
603001.SH-------------------G8买2 pro-1--奥康国际
603100.SH-------------------G8买2 pro-1--川仪股份
603113.SH-------------------G8买2 pro-1--金能科技
603156.SH-------------------G8买2 pro-1--强势股票----养元饮品
603168.SH-------------------G8买2 pro-1--强势股票----莎普爱思
603198.SH-------------------G8买2 pro-1--迎驾贡酒
603203.SH-------------------G8买2 pro-1--快克股份
603299.SH-------------------G8买2 pro-1--强势股票----苏盐井神
603728.SH-------------------G8买2 pro-1--鸣志电器
603997.SH-------------------G8买2 pro-1--继峰股份
688198.SH-------------------G8买2 pro-1--强势股票----佰仁医疗
000045.SZ-------------------G8买2 pro-1--深纺织A
000655.SZ-------------------G8买2 pro-1--金岭矿业
000791.SZ-------------------G8买2 pro-1--强势股票----甘肃电投
002158.SZ-------------------G8买2 pro-1--汉钟精机
002183.SZ-------------------G8买2 pro-1--强势股票----怡亚通
002378.SZ-------------------G8买2 pro-1--章源钨业
002379.SZ-------------------G8买2 pro-1--宏创控股
002420.SZ-------------------G8买2 pro-1--强势股票----毅昌股份
002497.SZ-------------------G8买2 pro-1--雅化集团
002521.SZ-------------------G8买2 pro-1--强势股票----齐峰新材
002554.SZ-------------------G8买2 pro-1--强势股票----惠博普
002763.SZ-------------------G8买2 pro-1--汇洁股份
600007.SH-------------------G8买2 pro-1--中国国贸
600019.SH-------------------G8买2 pro-1--强势股票----宝钢股份
600039.SH-------------------G8买2 pro-1--四川路桥
600080.SH-------------------G8买2 pro-1--强势股票----金花股份
600103.SH-------------------G8买2 pro-1--强势股票----青山纸业
600227.SH-------------------G8买2 pro-1--强势股票----圣济堂
600243.SH-------------------G8买2 pro-1--青海华鼎
600295.SH-------------------G8买2 pro-1--鄂尔多斯
600358.SH-------------------G8买2 pro-1--国旅联合
600362.SH-------------------G8买2 pro-1--江西铜业
600398.SH-------------------G8买2 pro-1--海澜之家
600406.SH-------------------G8买2 pro-1--国电南瑞
600459.SH-------------------G8买2 pro-1--贵研铂业
600507.SH-------------------G8买2 pro-1--强势股票----方大特钢
600620.SH-------------------G8买2 pro-1--天宸股份
600642.SH-------------------G8买2 pro-1--强势股票----申能股份
600710.SH-------------------G8买2 pro-1--苏美达
600725.SH-------------------G8买2 pro-1--云维股份
600755.SH-------------------G8买2 pro-1--厦门国贸
600759.SH-------------------G8买2 pro-1--洲际油气
600760.SH-------------------G8买2 pro-1--中航沈飞
600792.SH-------------------G8买2 pro-1--强势股票----云煤能源
600795.SH-------------------G8买2 pro-1--强势股票----国电电力
600803.SH-------------------G8买2 pro-1--强势股票----新奥股份
600817.SH-------------------G8买2 pro-1--宏盛科技
600865.SH-------------------G8买2 pro-1--强势股票----百大集团
601208.SH-------------------G8买2 pro-1--强势股票----东材科技
601225.SH-------------------G8买2 pro-1--陕西煤业
601258.SH-------------------G8买2 pro-1--庞大集团
601339.SH-------------------G8买2 pro-1--强势股票----百隆东方
601377.SH-------------------G8买2 pro-1--强势股票----兴业证券
601899.SH-------------------G8买2 pro-1--紫金矿业
601985.SH-------------------G8买2 pro-1--强势股票----中国核电
601991.SH-------------------G8买2 pro-1--强势股票----大唐发电
603001.SH-------------------G8买2 pro-1--奥康国际
603100.SH-------------------G8买2 pro-1--川仪股份
603113.SH-------------------G8买2 pro-1--金能科技
603156.SH-------------------G8买2 pro-1--强势股票----养元饮品
603168.SH-------------------G8买2 pro-1--强势股票----莎普爱思
603198.SH-------------------G8买2 pro-1--迎驾贡酒
603299.SH-------------------G8买2 pro-1--强势股票----苏盐井神
603728.SH-------------------G8买2 pro-1--鸣志电器
603997.SH-------------------G8买2 pro-1--继峰股份
688198.SH-------------------G8买2 pro-1--强势股票----佰仁医疗
000059.SZ-------------------G8买2 pro-1--强势股票----华锦股份
000504.SZ-------------------G8买2 pro-1--南华生物
000572.SZ-------------------G8买2 pro-1--海马汽车
000625.SZ-------------------G8买2 pro-1--强势股票----长安汽车
000679.SZ-------------------G8买2 pro-1--大连友谊
000712.SZ-------------------G8买2 pro-1--锦龙股份
000816.SZ-------------------G8买2 pro-1--智慧农业
