modecode,modename,info
a5,神4,--------- 神4---------20220119--20220127--宁波中百--强势股票**600857.SH
a5,神4,--------- 神4---------20220118--20220127--山东路桥**000498.SZ
b3,见龙在田5,--见龙在田5--20220125--红星发展**600367.SH
b8,龙战于野,阴线实体大于3.6最好:4.0--前边有涨停板-------龙战于野----20220125--红星发展**600367.SH
c111,起爆均线1,169满足上涨-----起爆均线1----20220126--光洋股份--强势股票**002708.SZ
c14,峰回路转,"峰回路转第3天用软件条件挂单,挂涨停板的收盘价-- 20220126--新智认知--强势股票**603869.SH"
c14,峰回路转,"峰回路转第3天用软件条件挂单,挂涨停板的收盘价-- 20220126--巨化股份**600160.SH"
c14,峰回路转,"峰回路转第3天用软件条件挂单,挂涨停板的收盘价-- 20220126--名雕股份--强势股票**002830.SZ"
d1,堆量1,--堆量1 成功了----日期:20220121--中青旅**600138.SH
d1,堆量1,--堆量1 成功了----日期:20220121--维科技术**600152.SH
d1,堆量1,--堆量1 成功了----日期:20220121--华创阳安--强势股票**600155.SH
d1,堆量1,--堆量1 成功了----日期:20220121--海立股份**600619.SH
d1,堆量1,--堆量1 成功了----日期:20220121--白云机场**600004.SH
d1,堆量1,--堆量1 成功了----日期:20220121--南纺股份--强势股票**600250.SH
d1,堆量1,--堆量1 成功了----日期:20220121--红星发展**600367.SH
d1,堆量1,--堆量1 成功了----日期:20220121--嘉美包装**002969.SZ
d1,堆量1,--堆量1 成功了----日期:20220121--鸿合科技--强势股票**002955.SZ
d1,堆量1,--堆量1 成功了----日期:20220121--国机通用--强势股票**600444.SH
d1,堆量1,--堆量1 成功了----日期:20220121--中金黄金**600489.SH
d1,堆量1,--堆量1 成功了----日期:20220121--新智认知--强势股票**603869.SH
d1,堆量1,--堆量1 成功了----日期:20220121--山东黄金**600547.SH
d1,堆量1,--堆量1 成功了----日期:20220113--中信证券**600030.SH
d1,堆量1,--堆量1 成功了----日期:20220121--巨化股份**600160.SH
d1,堆量1,--堆量1 成功了----日期:20220121--曲江文旅--强势股票**600706.SH
d1,堆量1,--堆量1 成功了----日期:20220121--西藏旅游**600749.SH
d1,堆量1,--堆量1 成功了----日期:20220121--海量数据**603138.SH
d1,堆量1,--堆量1 成功了----日期:20220121--天目湖**603136.SH
d1,堆量1,--堆量1 成功了----日期:20220121--神驰机电**603109.SH
d1,堆量1,--堆量1 成功了----日期:20220121--恒银科技--强势股票**603106.SH
d1,堆量1,--堆量1 成功了----日期:20220121--横店影视--强势股票**603103.SH
d1,堆量1,--堆量1 成功了----日期:20220121--汇嘉时代--强势股票**603101.SH
d1,堆量1,--堆量1 成功了----日期:20220121--长白山**603099.SH
d1,堆量1,--堆量1 成功了----日期:20220121--三美股份**603379.SH
d1,堆量1,--堆量1 成功了----日期:20220121--爱建集团**600643.SH
d1,堆量1,--堆量1 成功了----日期:20220121--德邦股份**603056.SH
d1,堆量1,--堆量1 成功了----日期:20220121--明阳智能**601615.SH
