--11周突破_周线开始=20220610-结束=20220812--中间值=8.8--周数=8--换手率,200.9----,元器件,国光电器**002045.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=4.03--周数=8--换手率,257.3----,装修装饰,宝鹰股份**002047.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=12.38--周数=7--换手率,135.4----,元器件,得润电子**002055.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=3.88--周数=10--换手率,77.6----,家居用品,海鸥住工**002084.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=6.27--周数=6--换手率,110.1----,汽车配件,万丰奥威**002085.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=22.75--周数=6--换手率,44.3----,矿物制品,鲁阳节能**002088.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=6.99--周数=8--换手率,252.0----,铅锌,罗平锌电**002114.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=6.23--周数=7--换手率,85.9----,电气设备,沃尔核材**002130.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=10.1--周数=10--换手率,100.6----,建筑工程,东华科技**002140.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=4.66--周数=7--换手率,204.2----,互联网,北纬科技**002148.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=10.48--周数=7--换手率,114.3----,旅游服务,三特索道**002159.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=8.88--周数=6--换手率,183.2----,电气设备,智光电气**002169.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=12.5--周数=7--换手率,283.8----,软件服务,海得控制**002184.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=14.91--周数=9--换手率,113.8----,元器件,中光学**002189.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=6.4--周数=6--换手率,86.7----,纺织,如意集团**002193.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=5.33--周数=7--换手率,59.6----,中成药,嘉应制药**002198.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=6.54--周数=6--换手率,168.8----,元器件,东晶电子**002199.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=6.32--周数=7--换手率,145.1----,化纤,海利得**002206.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=7.12--周数=6--换手率,403.7----,轻工机械,达意隆**002209.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=15.14--周数=7--换手率,160.8----,汽车配件,大为股份**002213.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=3.06--周数=8--换手率,55.8----,元器件,合力泰**002217.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=5.7--周数=10--换手率,284.8----,电气设备,拓日新能--小树股票池**002218.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=16.25--周数=7--换手率,161.6----,元器件,福晶科技**002222.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=4.64--周数=8--换手率,83.1----,橡胶,三力士**002224.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=7.39--周数=9--换手率,54.7----,元器件,深纺织A**000045.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=44.05--周数=8--换手率,194.4----,电气设备,德赛电池**000049.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=8.18--周数=8--换手率,88.4----,建筑工程,北方国际**000065.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=20.0--周数=7--换手率,237.0----,电气设备,许继电气**000400.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=3.77--周数=10--换手率,64.4----,供气供热,胜利股份**000407.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=1.91--周数=8--换手率,69.2----,元器件,东旭光电**000413.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=8.86--周数=10--换手率,85.7----,软件服务,国新健康**000503.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=5.15--周数=7--换手率,80.2----,家用电器,佛山照明**000541.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=2.84--周数=10--换手率,62.4----,文教休闲,莱茵体育**000558.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=8.16--周数=8--换手率,180.1----,新型电力,太阳能**000591.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=2.56--周数=8--换手率,149.1----,林业,平潭发展**000592.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=5.43--周数=8--换手率,396.2----,机械基件,宝塔实业**000595.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=6.53--周数=7--换手率,166.7----,水务,渤海股份**000605.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=8.85--周数=9--换手率,204.6----,多元金融,经纬纺机**000666.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=2.16--周数=7--换手率,251.7----,区域地产,阳光城**000671.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=5.47--周数=8--换手率,130.5----,互联网,智度股份**000676.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=6.81--周数=9--换手率,35.1----,证券,东北证券**000686.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=4.21--周数=7--换手率,166.0----,化工原料,亚太实业**000691.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=9.45--周数=8--换手率,91.9----,广告包装,滨海能源**000695.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=6.2--周数=9--换手率,144.5----,综合类,厦门信达**000701.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=3.84--周数=9--换手率,144.2----,火力发电,晋控电力**000767.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=10.9--周数=10--换手率,85.5----,机械基件,中核科技**000777.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=5.73--周数=8--换手率,94.1----,水力发电,甘肃电投**000791.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=16.93--周数=8--换手率,141.4----,家用电器,创维数字**000810.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=10.29--周数=8--换手率,75.3----,工程机械,冰轮环境**000811.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=10.51--周数=8--换手率,135.7----,其他商业,天音控股**000829.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=2.92--周数=8--换手率,168.4----,通信设备,富通信息**000836.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=2.07--周数=7--换手率,59.0----,综合类,中信国安**000839.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=5.01--周数=7--换手率,120.7----,通信设备,高鸿股份**000851.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=19.32--周数=7--换手率,109.3----,摩托车,钱江摩托**000913.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=8.64--周数=9--换手率,71.5----,环境保护,沃顿科技**000920.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=12.81--周数=7--换手率,138.5----,家用电器,海信家电**000921.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=6.18--周数=7--换手率,51.6----,建筑工程,中钢国际--强势股票**000928.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=6.6--周数=9--换手率,46.0----,生物制药,中关村**000931.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=4.82--周数=8--换手率,92.0----,多元金融,东方能源**000958.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=4.51--周数=8--换手率,96.8----,塑料,佛塑科技**000973.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=13.8--周数=7--换手率,236.6----,元器件,联创电子**002036.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=8.8--周数=8--换手率,200.9----,元器件,国光电器**002045.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=4.03--周数=8--换手率,257.3----,装修装饰,宝鹰股份**002047.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=12.38--周数=7--换手率,135.4----,元器件,得润电子**002055.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=3.88--周数=10--换手率,77.6----,家居用品,海鸥住工**002084.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=6.99--周数=8--换手率,252.0----,铅锌,罗平锌电**002114.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=6.23--周数=7--换手率,85.9----,电气设备,沃尔核材**002130.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=10.1--周数=10--换手率,100.6----,建筑工程,东华科技**002140.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=4.66--周数=7--换手率,204.2----,互联网,北纬科技**002148.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=10.48--周数=7--换手率,114.3----,旅游服务,三特索道**002159.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=12.5--周数=7--换手率,283.8----,软件服务,海得控制**002184.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=14.91--周数=9--换手率,113.8----,元器件,中光学**002189.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=5.33--周数=7--换手率,59.6----,中成药,嘉应制药**002198.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=6.32--周数=7--换手率,145.1----,化纤,海利得**002206.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=15.14--周数=7--换手率,160.8----,汽车配件,大为股份**002213.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=3.06--周数=8--换手率,55.8----,元器件,合力泰**002217.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=5.7--周数=10--换手率,284.8----,电气设备,拓日新能--小树股票池**002218.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=16.25--周数=7--换手率,161.6----,元器件,福晶科技**002222.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=4.64--周数=8--换手率,83.1----,橡胶,三力士**002224.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=5.64--周数=8--换手率,31.0----,影视音像,天威视讯**002238.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=17.0--周数=7--换手率,32.6----,化工原料,联化科技**002250.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=13.58--周数=9--换手率,35.2----,化学制药,恩华药业**002262.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=3.31--周数=10--换手率,129.2----,塑料,大东南**002263.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=8.32--周数=8--换手率,171.6----,电气设备,华明装备**002270.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=11.38--周数=7--换手率,175.6----,元器件,水晶光电**002273.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=7.29--周数=7--换手率,141.3----,元器件,宇顺电子**002289.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=4.51--周数=9--换手率,192.5----,影视音像,奥飞娱乐**002292.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=6.81--周数=7--换手率,177.8----,通信设备,辉煌科技**002296.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=4.47--周数=8--换手率,262.6----,电气设备,中利集团--强势股票**002309.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=5.89--周数=7--换手率,98.5----,通信设备,日海智能**002313.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=6.75--周数=7--换手率,328.4----,电气设备,英威腾**002334.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=4.31--周数=8--换手率,118.5----,化工原料,新纶新材**002341.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=4.46--周数=7--换手率,74.7----,服饰,潮宏基**002345.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=13.4--周数=7--换手率,97.7----,电气设备,柘中股份**002346.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=7.57--周数=8--换手率,279.7----,电气设备,北京科锐**002350.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=8.42--周数=9--换手率,65.1----,IT设备,漫步者**002351.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=5.86--周数=8--换手率,205.7----,公路,富临运业**002357.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=6.92--周数=8--换手率,305.9----,汽车配件,隆基机械**002363.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=8.17--周数=8--换手率,179.9----,电气设备,中恒电气**002364.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=4.9--周数=8--换手率,53.8----,装修装饰,亚厦股份**002375.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=5.81--周数=7--换手率,247.5----,元器件,新亚制程**002388.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=7.2--周数=8--换手率,56.7----,农药化肥,长青股份**002391.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=7.28--周数=9--换手率,31.6----,纺织,联发股份**002394.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=8.62--周数=8--换手率,85.4----,塑料,双象股份**002395.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=6.23--周数=7--换手率,114.6----,其他建材,垒知集团**002398.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=9.05--周数=7--换手率,38.6----,电器连锁,爱施德**002416.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=3.41--周数=7--换手率,127.8----,家用电器,康盛股份**002418.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=5.45--周数=9--换手率,144.4----,互联网,凯撒文化**002425.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=3.83--周数=9--换手率,32.0----,家用电器,兆驰股份**002429.SZ
