,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,603589.SH,20210812,56.5,57.7,55.97,56.09,56.92,-0.83,-1.4582,74884.56,424085.757
1,603589.SH,20210811,57.1,58.06,56.25,56.92,58.02,-1.1,-1.8959,86617.08,493831.351
2,603589.SH,20210810,55.29,58.62,55.2,58.02,55.02,3.0,5.4526,148880.71,848318.334
3,603589.SH,20210809,53.1,55.35,53.01,55.02,53.75,1.27,2.3628,81943.79,448421.224
4,603589.SH,20210806,53.9,54.79,52.55,53.75,54.38,-0.63,-1.1585,93217.51,498807.781
5,603589.SH,20210805,53.9,55.96,52.9,54.38,55.6,-1.22,-2.1942,91996.44,502131.123
6,603589.SH,20210804,56.33,56.85,55.15,55.6,56.35,-0.75,-1.331,78494.33,437888.483
7,603589.SH,20210803,56.15,56.85,54.88,56.35,57.15,-0.8,-1.3998,112543.68,629622.809
8,603589.SH,20210802,53.49,57.2,53.18,57.15,54.95,2.2,4.0036,150858.25,840357.745
9,603589.SH,20210730,57.65,57.65,54.47,54.95,58.29,-3.34,-5.73,156181.43,862372.315
10,603589.SH,20210729,59.03,59.59,57.08,58.29,58.26,0.03,0.0515,124036.74,720786.999
11,603589.SH,20210728,58.0,58.44,55.96,58.26,58.49,-0.23,-0.3932,136357.38,782706.779
12,603589.SH,20210727,60.5,61.49,58.08,58.49,61.0,-2.51,-4.1148,134448.77,803138.455
13,603589.SH,20210726,64.42,64.42,60.01,61.0,66.3,-5.3,-7.994,180341.29,1124443.688
14,603589.SH,20210723,71.42,71.98,65.93,66.3,71.33,-5.03,-7.0517,232242.43,1574562.157
15,603589.SH,20210722,72.0,75.84,71.0,71.33,72.55,-1.22,-1.6816,149355.73,1087679.177
16,603589.SH,20210721,69.53,74.74,69.5,72.55,70.05,2.5,3.5689,179547.17,1304634.765
17,603589.SH,20210720,69.89,71.16,68.23,70.05,70.15,-0.1,-0.1426,128173.86,896595.319
18,603589.SH,20210719,68.82,70.6,68.51,70.15,69.26,0.89,1.285,123422.81,861270.76
19,603589.SH,20210716,71.2,71.44,68.3,69.26,71.17,-1.91,-2.6837,148140.31,1029693.936
20,603589.SH,20210715,69.55,72.65,68.76,71.17,70.67,0.5,0.7075,182789.81,1298354.778
21,603589.SH,20210714,66.0,71.75,65.58,70.67,66.56,4.11,6.1749,232845.64,1627416.077
22,603589.SH,20210713,66.97,67.82,66.03,66.56,65.71,0.85,1.2936,106067.59,709565.919
23,603589.SH,20210712,65.51,66.27,63.91,65.71,65.8,-0.09,-0.1368,118315.33,770851.605
24,603589.SH,20210709,67.57,68.5,63.69,65.8,68.08,-2.28,-3.349,187294.09,1229971.159
25,603589.SH,20210708,68.7,72.23,67.76,68.08,69.83,-1.75,-2.5061,176270.14,1231833.088
26,603589.SH,20210707,69.48,71.4,69.12,69.83,69.69,0.14,0.2009,149979.76,1052505.52
27,603589.SH,20210706,70.94,70.94,67.67,69.69,70.44,-0.75,-1.0647,174481.77,1206399.17
28,603589.SH,20210705,67.16,72.1,66.5,70.44,67.22,3.22,4.7902,183024.91,1283843.495
29,603589.SH,20210702,69.06,70.8,66.8,67.22,69.93,-2.71,-3.8753,156868.16,1070664.219
30,603589.SH,20210701,67.31,71.48,66.0,69.93,67.69,2.24,3.3092,212481.15,1476658.747
