,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,600101.SH,20210812,5.39,5.49,5.37,5.47,5.42,0.05,0.9225,59189.05,32241.072
1,600101.SH,20210811,5.38,5.44,5.34,5.42,5.4,0.02,0.3704,54163.85,29226.534
2,600101.SH,20210810,5.35,5.4,5.34,5.4,5.37,0.03,0.5587,47654.85,25586.981
3,600101.SH,20210809,5.36,5.38,5.32,5.37,5.39,-0.02,-0.3711,37225.6,19923.724
4,600101.SH,20210806,5.22,5.41,5.18,5.39,5.22,0.17,3.2567,84166.67,44811.519
5,600101.SH,20210805,5.29,5.3,5.19,5.22,5.29,-0.07,-1.3233,47936.9,25095.378
6,600101.SH,20210804,5.29,5.32,5.26,5.29,5.28,0.01,0.1894,33248.1,17574.999
7,600101.SH,20210803,5.28,5.35,5.27,5.28,5.3,-0.02,-0.3774,35231.67,18688.131
8,600101.SH,20210802,5.23,5.32,5.19,5.3,5.24,0.06,1.145,42889.72,22643.432
9,600101.SH,20210730,5.19,5.28,5.16,5.24,5.18,0.06,1.1583,45563.7,23797.044
10,600101.SH,20210729,5.16,5.21,5.13,5.18,5.12,0.06,1.1719,31739.7,16422.43
11,600101.SH,20210728,5.31,5.31,5.06,5.12,5.32,-0.2,-3.7594,59314.96,30602.521
12,600101.SH,20210727,5.48,5.49,5.3,5.32,5.49,-0.17,-3.0965,74756.3,40372.849
13,600101.SH,20210726,5.47,5.52,5.42,5.49,5.44,0.05,0.9191,72949.15,39853.297
14,600101.SH,20210723,5.5,5.51,5.4,5.44,5.49,-0.05,-0.9107,50401.7,27437.057
15,600101.SH,20210722,5.41,5.55,5.37,5.49,5.41,0.08,1.4787,72573.77,39708.912
16,600101.SH,20210721,5.39,5.43,5.38,5.41,5.39,0.02,0.3711,33220.2,17965.289
17,600101.SH,20210720,5.36,5.41,5.33,5.39,5.35,0.04,0.7477,33401.37,17921.597
18,600101.SH,20210719,5.36,5.41,5.31,5.35,5.39,-0.04,-0.7421,32049.1,17122.483
19,600101.SH,20210716,5.36,5.44,5.35,5.39,5.37,0.02,0.3724,32913.8,17740.378
20,600101.SH,20210715,5.42,5.43,5.31,5.37,5.42,-0.05,-0.9225,36569.0,19591.599
21,600101.SH,20210714,5.43,5.49,5.4,5.42,5.43,-0.01,-0.1842,46005.75,25030.946
22,600101.SH,20210713,5.4,5.45,5.34,5.43,5.38,0.05,0.9294,52876.96,28619.763
23,600101.SH,20210712,5.37,5.4,5.35,5.38,5.35,0.03,0.5607,46254.29,24866.555
24,600101.SH,20210709,5.3,5.36,5.26,5.35,5.3,0.05,0.9434,32428.71,17247.932
25,600101.SH,20210708,5.34,5.37,5.3,5.3,5.34,-0.04,-0.7491,30067.83,16004.69
26,600101.SH,20210707,5.34,5.37,5.32,5.34,5.36,-0.02,-0.3731,27935.95,14903.058
27,600101.SH,20210706,5.32,5.37,5.3,5.36,5.31,0.05,0.9416,39799.41,21238.079
28,600101.SH,20210705,5.27,5.31,5.26,5.31,5.27,0.04,0.759,27233.36,14390.311
29,600101.SH,20210702,5.29,5.3,5.25,5.27,5.3,-0.03,-0.566,29011.17,15299.661
30,600101.SH,20210701,5.35,5.38,5.29,5.3,5.36,-0.06,-1.1194,35165.4,18760.586
