,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,601928.SH,20210812,6.4,6.42,6.36,6.39,6.39,0.0,0.0,41491.0,26522.602
1,601928.SH,20210811,6.44,6.46,6.36,6.39,6.44,-0.05,-0.7764,54555.0,34858.669
2,601928.SH,20210810,6.38,6.44,6.35,6.44,6.38,0.06,0.9404,55330.41,35413.59
3,601928.SH,20210809,6.39,6.43,6.29,6.38,6.38,0.0,0.0,62354.15,39782.226
4,601928.SH,20210806,6.42,6.42,6.32,6.38,6.38,0.0,0.0,49070.97,31229.551
5,601928.SH,20210805,6.52,6.53,6.38,6.38,6.5,-0.12,-1.8462,64083.87,41141.043
6,601928.SH,20210804,6.67,6.67,6.46,6.5,6.68,-0.18,-2.6946,115059.65,74929.94
7,601928.SH,20210803,6.3,6.69,6.27,6.68,6.3,0.38,6.0317,167764.72,110420.555
8,601928.SH,20210802,6.4,6.41,6.25,6.3,6.4,-0.1,-1.5625,118785.63,74989.512
9,601928.SH,20210730,6.4,6.51,6.38,6.4,6.45,-0.05,-0.7752,69151.86,44443.462
10,601928.SH,20210729,6.62,6.62,6.44,6.45,6.58,-0.13,-1.9757,68656.44,44634.277
11,601928.SH,20210728,6.44,6.64,6.38,6.58,6.45,0.13,2.0155,108758.96,70733.078
12,601928.SH,20210727,6.43,6.5,6.32,6.45,6.52,-0.07,-1.0736,95634.6,61232.822
13,601928.SH,20210726,6.49,6.59,6.44,6.52,6.47,0.05,0.7728,100496.15,65445.764
14,601928.SH,20210723,6.6,6.62,6.47,6.47,6.61,-0.14,-2.118,68050.5,44334.414
15,601928.SH,20210722,6.55,6.65,6.52,6.61,6.55,0.06,0.916,71529.4,47221.846
16,601928.SH,20210721,6.71,6.74,6.5,6.55,6.69,-0.14,-2.0927,104322.84,68660.388
17,601928.SH,20210720,6.7,6.8,6.66,6.69,6.77,-0.08,-1.1817,70118.32,47167.61
18,601928.SH,20210719,6.63,6.8,6.61,6.77,6.63,0.14,2.1116,84584.11,57132.537
19,601928.SH,20210716,6.76,6.78,6.56,6.63,6.69,-0.06,-0.8969,91951.86,61004.42
20,601928.SH,20210715,7.04,7.15,7.0,7.09,7.07,0.02,0.2829,111188.2,78854.991
21,601928.SH,20210714,7.19,7.19,7.05,7.07,7.16,-0.09,-1.257,96275.16,68481.459
22,601928.SH,20210713,7.16,7.19,7.11,7.16,7.11,0.05,0.7032,50939.49,36392.171
23,601928.SH,20210712,7.17,7.21,7.1,7.11,7.19,-0.08,-1.1127,59461.87,42544.533
24,601928.SH,20210709,7.08,7.24,7.08,7.19,7.12,0.07,0.9831,52661.59,37794.036
25,601928.SH,20210708,7.23,7.25,7.1,7.12,7.22,-0.1,-1.385,60997.37,43625.704
26,601928.SH,20210707,7.17,7.27,7.1,7.22,7.18,0.04,0.5571,55371.4,39763.829
27,601928.SH,20210706,7.09,7.23,7.07,7.18,7.05,0.13,1.844,64721.34,46307.959
28,601928.SH,20210705,7.41,7.41,7.03,7.05,7.43,-0.38,-5.1144,115263.34,82532.481
29,601928.SH,20210702,7.26,7.49,7.21,7.43,7.26,0.17,2.3416,75249.9,55727.548
30,601928.SH,20210701,7.12,7.37,7.07,7.26,7.14,0.12,1.6807,81748.98,59167.011
