,trade_date,open,close,high,low
323,20240512,28.33,28.73,29.08,27.64
322,20240505,28.5,28.18,29.36,28.0
321,20240428,31.66,28.51,32.26,27.42
320,20240421,31.25,31.66,32.33,31.08
319,20240414,30.53,31.25,31.76,29.95
318,20240407,29.1,30.52,30.8,29.1
317,20240331,28.13,28.88,29.7,28.02
316,20240324,30.27,28.28,31.0,28.07
315,20240317,27.2,29.56,30.0,27.02
314,20240310,26.26,27.11,27.52,26.14
313,20240303,26.0,26.27,26.5,25.49
312,20240225,26.74,25.95,26.74,25.54
311,20240211,22.6,26.22,27.98,21.61
310,20240204,24.98,22.68,25.27,22.0
309,20240128,25.99,24.89,26.07,23.99
308,20240121,26.58,26.09,27.64,25.1
307,20240114,25.77,26.58,27.28,25.09
306,20240107,25.7,25.79,26.42,25.61
305,20231231,24.86,25.6,25.85,24.79
304,20231224,25.43,24.86,25.47,24.36
303,20231217,25.39,25.43,26.54,25.23
302,20231210,26.29,25.48,26.3,25.12
301,20231203,26.38,26.3,26.86,26.08
300,20231126,26.04,26.31,26.62,25.85
299,20231119,26.78,26.09,27.0,25.46
298,20231112,27.3,26.77,27.99,26.24
297,20231105,27.48,27.16,28.13,26.8
296,20231029,27.51,27.48,28.1,26.5
295,20231022,28.5,27.58,28.79,27.52
294,20231015,27.85,28.5,29.3,27.42
293,20231001,26.29,27.85,28.29,26.19
292,20230924,26.29,26.29,26.52,25.75
291,20230917,26.01,26.24,26.7,26.0
290,20230910,26.78,26.01,26.82,25.74
289,20230903,25.0,26.59,26.83,23.78
288,20230827,24.62,24.04,25.33,23.95
287,20230820,25.16,24.84,25.66,24.81
286,20230813,24.87,25.34,25.67,24.28
285,20230806,26.15,24.86,26.44,24.54
284,20230730,26.28,26.1,27.02,25.7
283,20230723,26.55,26.29,27.01,26.12
282,20230716,27.23,26.61,27.69,26.5
281,20230709,26.93,27.25,27.79,26.7
280,20230702,26.07,26.92,27.6,25.62
279,20230625,26.34,26.09,26.75,26.06
278,20230618,25.6,26.32,27.07,25.35
277,20230611,25.23,25.5,25.96,24.34
276,20230604,25.78,25.11,26.48,25.02
275,20230528,25.14,25.67,26.06,24.77
