,trade_date,open,close,high,low
323,20240512,7.52,8.03,8.04,7.47
322,20240505,7.45,7.49,7.56,7.25
321,20240428,8.4,7.66,8.47,7.63
320,20240421,8.04,8.43,8.51,7.95
319,20240414,7.78,7.93,8.0,7.66
318,20240407,7.51,7.81,7.82,7.43
317,20240331,7.71,7.63,7.79,7.39
316,20240324,7.94,7.74,7.94,7.71
315,20240317,8.48,7.98,8.51,7.85
314,20240310,8.18,8.51,8.61,8.18
313,20240303,8.3,8.19,8.39,8.01
312,20240225,7.59,8.34,8.64,7.51
311,20240211,7.24,7.54,7.71,7.08
310,20240204,7.74,7.27,7.8,7.09
309,20240128,7.23,7.69,7.79,6.95
308,20240121,7.52,7.26,7.64,7.15
307,20240114,7.59,7.52,7.68,7.37
306,20240107,7.14,7.6,7.71,7.13
305,20231231,7.17,7.14,7.49,7.04
304,20231224,7.11,7.19,7.28,7.01
303,20231217,6.93,7.11,7.21,6.83
302,20231210,7.05,6.91,7.11,6.88
301,20231203,6.68,7.05,7.11,6.68
300,20231126,6.55,6.65,6.7,6.49
299,20231119,6.49,6.55,6.68,6.48
298,20231112,6.36,6.46,6.47,6.27
297,20231105,6.5,6.35,6.51,6.31
296,20231029,6.55,6.5,6.76,6.39
295,20231022,6.65,6.56,6.84,6.54
294,20231015,6.69,6.62,6.8,6.54
293,20231001,6.73,6.74,6.84,6.68
292,20230924,6.75,6.71,6.83,6.64
291,20230917,6.48,6.73,6.81,6.45
290,20230910,6.3,6.41,6.63,6.3
289,20230903,6.5,6.27,6.58,6.1
288,20230827,6.34,6.31,6.4,6.23
287,20230820,6.33,6.33,6.4,6.27
286,20230813,6.49,6.36,6.5,6.35
285,20230806,6.58,6.49,6.66,6.47
284,20230730,6.48,6.59,6.59,6.41
283,20230723,6.56,6.48,6.59,6.45
282,20230716,6.5,6.59,6.61,6.44
281,20230709,6.33,6.48,6.51,6.3
280,20230702,6.22,6.38,6.49,6.18
279,20230625,6.39,6.19,6.39,6.18
278,20230618,6.37,6.38,6.43,6.29
277,20230611,6.39,6.37,6.43,6.28
276,20230604,6.38,6.39,6.49,6.24
275,20230528,6.68,6.37,6.73,6.33
274,20230521,6.76,6.71,6.9,6.6
273,20230514,6.47,6.76,6.96,6.47
272,20230507,6.31,6.45,6.55,6.22
271,20230430,6.35,6.39,6.52,6.15
270,20230423,6.14,6.34,6.5,5.96
269,20230416,5.96,5.99,6.01,5.8
268,20230409,5.96,5.98,6.21,5.93
267,20230402,5.82,5.91,6.04,5.75
266,20230326,5.79,5.82,5.87,5.73
265,20230319,5.9,5.77,5.99,5.7
264,20230312,6.19,5.9,6.21,5.88
263,20230305,6.19,6.2,6.33,6.05
262,20230226,5.66,6.18,6.64,5.66
261,20230219,5.66,5.66,5.74,5.53
260,20230212,5.65,5.68,5.72,5.59
259,20230205,5.94,5.68,5.95,5.6
258,20230122,5.57,5.9,5.94,5.49
257,20230115,5.42,5.57,5.65,5.36
256,20230108,5.49,5.4,5.5,5.33
255,20230101,5.44,5.5,5.74,5.39
254,20221225,5.82,5.44,5.84,5.35
253,20221218,5.88,5.85,5.97,5.73
252,20221211,5.84,5.89,5.97,5.79
251,20221204,5.7,5.81,6.03,5.63
250,20221127,5.4,5.75,5.77,5.35
249,20221120,5.7,5.45,5.77,5.44
248,20221113,5.54,5.59,5.63,5.39
247,20221106,5.36,5.5,5.5,5.21
246,20221030,5.65,5.43,5.69,5.32
245,20221023,5.88,5.64,5.94,5.63
244,20221016,6.34,5.91,6.4,5.84
243,20221002,6.14,6.26,6.36,5.66
242,20220925,5.85,6.21,6.4,5.79
241,20220918,6.31,5.81,6.37,5.8
240,20220911,6.04,6.29,6.43,5.94
239,20220904,6.38,5.92,6.67,5.82
238,20220828,6.13,6.5,6.65,6.1
237,20220821,5.94,6.13,6.26,5.92
236,20220814,5.54,5.94,5.98,5.47
235,20220807,5.82,5.56,5.94,5.39
234,20220731,5.79,5.81,6.01,5.63
233,20220724,5.81,5.73,6.18,5.68
232,20220717,5.96,5.75,6.07,5.75
231,20220710,6.45,6.01,6.61,5.93
230,20220703,6.33,6.43,6.84,6.19
229,20220626,5.98,6.31,6.53,5.58
228,20220619,6.85,6.27,7.03,6.22
227,20220612,6.14,6.96,7.03,6.12
226,20220605,6.1,6.17,6.31,5.98
225,20220529,5.58,6.06,6.17,5.48
224,20220522,5.35,5.52,5.54,5.15
223,20220515,5.45,5.25,5.5,5.04
