a51, 神4_1--20220406--20220418-持仓量20220121-20220401-中间值4.34--10周-换手率,86.1-流通市值,22.2亿,汽车配件,浩物股份**000757.SZ
a51, 神4_1--20220406--20220418-持仓量20220121-20220401-中间值12.22--8周-换手率,56.6-流通市值,13.6亿,通信设备,瀛通通讯**002861.SZ
a51, 神4_1--20220412--20220418-持仓量20220128-20220408-中间值3.29--9周-换手率,34.3-流通市值,59.9亿,超市连锁,文峰股份**601010.SH
a51, 神4_1--20220406--20220418-持仓量20220121-20220401-中间值11.22--10周-换手率,54.2-流通市值,43.7亿,纺织,健盛集团**603558.SH
a51, 神4_1--20220406--20220415-持仓量20220121-20220401-中间值5.78--9周-换手率,35.4-流通市值,173.3亿,全国地产,金融街**000402.SZ
a51, 神4_1--20220406--20220415-持仓量20220121-20220401-中间值12.76--10周-换手率,32.5-流通市值,25.8亿,染料涂料,乐通股份**002319.SZ
a51, 神4_1--20220408--20220415-持仓量20220128-20220408-中间值12.83--7周-换手率,151.5-流通市值,85.0亿,农药化肥,云图控股**002539.SZ
a51, 神4_1--20220408--20220415-持仓量20220128-20220408-中间值7.33--9周-换手率,96.2-流通市值,89.8亿,化工原料,新疆天业**600075.SH
a51, 神4_1--20220401--20220415,医疗保健,济民医疗**603222.SH
a51, 神4_1--20220406--20220415-持仓量20220121-20220401-中间值5.78--9周-换手率,35.4-流通市值,173.3亿,全国地产,金融街**000402.SZ
a51, 神4_1--20220406--20220415-持仓量20220121-20220401-中间值12.76--10周-换手率,32.5-流通市值,25.8亿,染料涂料,乐通股份**002319.SZ
a51, 神4_1--20220408--20220415-持仓量20220128-20220408-中间值12.83--7周-换手率,151.5-流通市值,85.0亿,农药化肥,云图控股**002539.SZ
a51, 神4_1--20220408--20220415-持仓量20220128-20220408-中间值7.33--9周-换手率,96.2-流通市值,89.8亿,化工原料,新疆天业**600075.SH
a51, 神4_1--20220401--20220415,医疗保健,济民医疗**603222.SH
a51, 神4_1--20220406--20220415-持仓量20220121-20220401-中间值5.78--9周-换手率,35.4-流通市值,173.3亿,全国地产,金融街**000402.SZ
a51, 神4_1--20220406--20220414-持仓量20220121-20220401-中间值5.78--9周-换手率,35.4-流通市值,173.3亿,全国地产,金融街**000402.SZ
a51, 神4_1--20220406--20220414-持仓量20220121-20220401-中间值5.78--9周-换手率,35.4-流通市值,173.3亿,全国地产,金融街**000402.SZ
a51, 神4_1--20220401--20220414-持仓量20220121-20220401-中间值6.78--8周-换手率,155.5-流通市值,198.8亿,煤炭开采,冀中能源**000937.SZ
a51, 神4_1--20220406--20220414-持仓量20220121-20220401-中间值9.52--8周-换手率,48.2-流通市值,39.3亿,公共交通,锦江在线**600650.SH
a51, 神4_1--20220331--20220414,煤炭开采,恒源煤电**600971.SH
a51, 神4_1--20220406--20220414-持仓量20220121-20220401-中间值5.78--9周-换手率,35.4-流通市值,173.3亿,全国地产,金融街**000402.SZ
a51, 神4_1--20220401--20220414-持仓量20220121-20220401-中间值6.78--8周-换手率,155.5-流通市值,198.8亿,煤炭开采,冀中能源**000937.SZ
a51, 神4_1--20220406--20220414-持仓量20220121-20220401-中间值9.52--8周-换手率,48.2-流通市值,39.3亿,公共交通,锦江在线**600650.SH
a51, 神4_1--20220331--20220414,煤炭开采,恒源煤电**600971.SH
a51, 神4_1--20220406--20220415-持仓量20220121-20220401-中间值5.78--9周-换手率,35.4-流通市值,173.3亿,全国地产,金融街**000402.SZ
a51, 神4_1--20220406--20220415-持仓量20220121-20220401-中间值12.76--10周-换手率,32.5-流通市值,25.8亿,染料涂料,乐通股份**002319.SZ
a51, 神4_1--20220408--20220415-持仓量20220128-20220408-中间值12.83--7周-换手率,151.5-流通市值,85.0亿,农药化肥,云图控股**002539.SZ
a51, 神4_1--20220408--20220415-持仓量20220128-20220408-中间值7.33--9周-换手率,96.2-流通市值,89.8亿,化工原料,新疆天业**600075.SH
a51, 神4_1--20220401--20220415,医疗保健,济民医疗**603222.SH
a51, 神4_1--20220406--20220414-持仓量20220121-20220401-中间值5.78--9周-换手率,35.4-流通市值,173.3亿,全国地产,金融街**000402.SZ
a51, 神4_1--20220401--20220414-持仓量20220121-20220401-中间值6.78--8周-换手率,155.5-流通市值,198.8亿,煤炭开采,冀中能源**000937.SZ
a51, 神4_1--20220406--20220414-持仓量20220121-20220401-中间值9.52--8周-换手率,48.2-流通市值,39.3亿,公共交通,锦江在线**600650.SH
a51, 神4_1--20220331--20220414,煤炭开采,恒源煤电**600971.SH
a51, 神4_1--20220331--20220413-持仓量20220114-20220325-中间值12.22--7周-换手率,57.5-流通市值,13.6亿,通信设备,瀛通通讯**002861.SZ
a51, 神4_1--20220406--20220413-持仓量20220121-20220401-中间值9.52--8周-换手率,48.2-流通市值,39.3亿,公共交通,锦江在线**600650.SH
a51, 神4_1--20220329--20220413-持仓量20220114-20220325-中间值4.49--8周-换手率,79.6-流通市值,115.0亿,农药化肥,阳煤化工**600691.SH
a51, 神4_1--20220331--20220413,煤炭开采,恒源煤电**600971.SH
a51, 神4_1--20220406--20220412,超市连锁,红旗连锁**002697.SZ
a51, 神4_1--20220329--20220411,食品,粤桂股份**000833.SZ
a51, 神4_1--20220328--20220411-持仓量20220114-20220325-中间值7.27--10周-换手率,24.7-流通市值,29.6亿,百货,徐家汇**002561.SZ
a51, 神4_1--20220330--20220411-持仓量20220114-20220325-中间值3.08--10周-换手率,8.0-流通市值,192.6亿,区域地产,中华企业**600675.SH
a51, 神4_1--20220222--20220303-持仓量20211210-20220218-中间值8.8--9周-换手率,12.8-流通市值,43.8亿,石油贸易,广聚能源**000096.SZ
a51, 神4_1--20220225--20220309,水务,渤海股份**000605.SZ
a51, 神4_1--20220224--20220308,小金属,合金投资**000633.SZ
a51, 神4_1--20220211--20220222-持仓量20211203-20220211-中间值7.49--9周-换手率,56.6-流通市值,37.2亿,日用化工,北方铜业**000737.SZ
a51, 神4_1--20220214--20220222,建筑工程,甘咨询**000779.SZ
a51, 神4_1--20220307--20220317,化学制药,北大医药**000788.SZ
a51, 神4_1--20220210--20220222,建筑工程,浙江交科**002061.SZ
a51, 神4_1--20220310--20220321-持仓量20211224-20220304-中间值8.4--7周-换手率,181.7-流通市值,17.4亿,其他建材,国统股份**002205.SZ
a51, 神4_1--20220302--20220311-持仓量20211217-20220225-中间值8.21--7周-换手率,186.1-流通市值,17.4亿,其他建材,国统股份**002205.SZ
a51, 神4_1--20220302--20220310-持仓量20211217-20220225-中间值8.21--7周-换手率,186.1-流通市值,17.4亿,其他建材,国统股份**002205.SZ
a51, 神4_1--20220216--20220223-持仓量20211203-20220211-中间值3.95--7周-换手率,94.4-流通市值,42.1亿,铝,闽发铝业**002578.SZ
a51, 神4_1--20220209--20220221-持仓量20211126-20220128-中间值21.01--9周-换手率,87.8-流通市值,36.6亿,塑料,王子新材**002735.SZ
a51, 神4_1--20220218--20220301-持仓量20211210-20220218-中间值14.59--9周-换手率,98.4-流通市值,45.7亿,专用机械,南兴股份**002757.SZ
a51, 神4_1--20220218--20220228-持仓量20211210-20220218-中间值14.59--9周-换手率,98.4-流通市值,45.7亿,专用机械,南兴股份**002757.SZ
a51, 神4_1--20220310--20220316-持仓量20211224-20220304-中间值8.37--7周-换手率,118.4-流通市值,30.3亿,运输设备,快意电梯**002774.SZ
a51, 神4_1--20220310--20220318-持仓量20211224-20220304-中间值10.42--9周-换手率,69.9-流通市值,15.4亿,化工原料,红墙股份**002809.SZ
a51, 神4_1--20220218--20220303-持仓量20211210-20220218-中间值5.78--8周-换手率,32.3-流通市值,157.9亿,水运,中远海能**600026.SH
a51, 神4_1--20220214--20220224,区域地产,浙江东日**600113.SH
a51, 神4_1--20220214--20220223,区域地产,浙江东日**600113.SH
a51, 神4_1--20220207--20220217-持仓量20211126-20220128-中间值6.35--7周-换手率,58.2-流通市值,38.4亿,区域地产,浙江东日**600113.SH
a51, 神4_1--20220218--20220303-持仓量20211210-20220218-中间值5.35--7周-换手率,80.5-流通市值,65.3亿,铁路,铁龙物流**600125.SH
a51, 神4_1--20220218--20220302-持仓量20211210-20220218-中间值5.35--7周-换手率,80.5-流通市值,65.3亿,铁路,铁龙物流**600125.SH
a51, 神4_1--20220218--20220225-持仓量20211210-20220218-中间值5.35--7周-换手率,80.5-流通市值,65.3亿,铁路,铁龙物流**600125.SH
