ts_code,trade_date,beizhu
000016.SZ,20210721,w筑底


600861.SH,20210720
600862.SH,20210720
600864.SH,20210721
600872.SH,20210723
600872.SH,20210713
600874.SH,20210709
600889.SH,20210722
600903.SH,20210729
600970.SH,20210719
600983.SH,20210729
600984.SH,20210722
600999.SH,20210709
601012.SH,20210721
601021.SH,20210712
601069.SH,20210721
601099.SH,20210720
601108.SH,20210709
601126.SH,20210715
601360.SH,20210721
601600.SH,20210720
601618.SH,20210720
601688.SH,20210720
601688.SH,20210709
601766.SH,20210709
601777.SH,20210713
601869.SH,20210730
601878.SH,20210709
601881.SH,20210712
601888.SH,20210715
601952.SH,20210719
601966.SH,20210713
601985.SH,20210722
603005.SH,20210721
603043.SH,20210713
603058.SH,20210723
603108.SH,20210716
603116.SH,20210709
603129.SH,20210709
603178.SH,20210723
603181.SH,20210712
603186.SH,20210723
603214.SH,20210716
603225.SH,20210709
603228.SH,20210712
603229.SH,20210715
603236.SH,20210713
603288.SH,20210713
603300.SH,20210730
603308.SH,20210712
603313.SH,20210715
603321.SH,20210721
603330.SH,20210709
603351.SH,20210714
603387.SH,20210714
603393.SH,20210727
603416.SH,20210712
603416.SH,20210730
603421.SH,20210722
603519.SH,20210727
603520.SH,20210721
603530.SH,20210730
603556.SH,20210709
603558.SH,20210715
603568.SH,20210727
603580.SH,20210714
603583.SH,20210729
603606.SH,20210709
603666.SH,20210729
603708.SH,20210716
603766.SH,20210723
603806.SH,20210721
603819.SH,20210709
603833.SH,20210713
603848.SH,20210713
603856.SH,20210730
603881.SH,20210709
603916.SH,20210709
603926.SH,20210722
603937.SH,20210720
603939.SH,20210713
603959.SH,20210707
603988.SH,20210716
688028.SH,20210729
688078.SH,20210715
688088.SH,20210722
688139.SH,20210727
688181.SH,20210722
688333.SH,20210720
688399.SH,20210709
