,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma5,ma_v_5,ma13,ma_v_13,ma34,ma_v_34,ma144,ma_v_144,ma169,ma_v_169,ma75,ma_v_75
0,002490.SZ,20171229,4.82,4.92,4.82,4.91,4.81,0.10000000000000053,2.079,33576.03,16392.061,4.84,34534.252,4.8585,34155.6677,4.9462,53896.9068,4.8892,66945.2012,4.8736,70315.1145,5.0065,61313.1036
1,002490.SZ,20171228,4.84,4.86,4.78,4.81,4.84,-0.03000000000000025,-0.6198,31860.05,15386.479,4.834,33024.264,4.8454,33526.9746,4.9618,56905.6753,4.8856,67127.6762,4.8763,70607.3495,5.0093,61574.7069
2,002490.SZ,20171227,4.82,4.91,4.81,4.84,4.84,0.0,0.0,42334.07,20568.577,4.842,33245.674,4.8462,33460.3554,4.9756,58080.6409,4.882,67378.3281,4.8794,70953.2778,5.0133,62187.7257
3,002490.SZ,20171226,4.78,4.87,4.75,4.84,4.8,0.040000000000000036,0.8333,27265.0,13161.688,4.848,31361.26,4.8369,32683.5808,4.9862,58893.6388,4.8781,67606.1262,4.8824,71388.6563,5.0172,62648.0917
4,002490.SZ,20171225,4.88,4.9,4.76,4.8,4.88,-0.08000000000000007,-1.6393,37636.11,18150.729,4.858,30928.858,4.8208,32883.3646,4.9968,61574.8703,4.8758,67792.8881,4.8871,71819.4956,5.0201,63064.9184
5,002490.SZ,20171222,4.83,4.92,4.83,4.88,4.85,0.03000000000000025,0.6186,26026.09,12689.638,4.86,29400.868,4.8092,34208.3623,5.0112,64820.9418,4.8742,67861.9424,4.8918,72285.6681,5.0235,63173.6104
6,002490.SZ,20171221,4.86,4.89,4.79,4.85,4.87,-0.020000000000000462,-0.4107,32967.1,15964.121,4.862,32536.066,4.7877,38654.91,5.02,67013.7471,4.8723,68158.0901,4.8956,73248.4146,5.0259,63508.3307
7,002490.SZ,20171220,4.89,4.97,4.83,4.87,4.89,-0.019999999999999574,-0.409,32912.0,16149.005,4.88,37056.246,4.7869,39656.4408,5.0297,72545.2926,4.8697,68388.9663,4.9012,74279.8697,5.0284,63847.0175
8,002490.SZ,20171219,4.81,4.92,4.81,4.89,4.81,0.08000000000000007,1.6632,25102.99,12220.663,4.872,35889.446,4.7962,39629.9792,5.0341,73959.6465,4.8669,68780.3319,4.9085,74756.544,5.0303,64712.6872
9,002490.SZ,20171218,4.89,4.94,4.78,4.81,4.89,-0.08000000000000007,-1.636,29996.16,14563.839,4.842,35949.452,4.8015,40222.9038,5.0353,74106.2062,4.8655,69523.4222,4.9164,75293.3115,5.0333,65275.8052
10,002490.SZ,20171215,4.94,4.96,4.85,4.89,4.94,-0.05000000000000071,-1.0121,41702.08,20426.759,4.844,36149.02,4.8185,40651.2846,5.0394,74137.205,4.8664,70260.5529,4.9247,76218.6196,5.0371,66132.2592
