,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma5,ma_v_5,ma13,ma_v_13,ma34,ma_v_34,ma144,ma_v_144,ma169,ma_v_169,ma75,ma_v_75,ma10,ma_v_10,ma20,ma_v_20,ma30,ma_v_30,ma60,ma_v_60
0,688021.SH,20211207,50.54,51.2,49.45,50.46,50.35,0.10999999999999943,0.2185,4375.84,22003.489,51.624,4364.134,52.4462,6572.4092,47.62,7624.0985,44.2919,8869.3002,44.9062,9827.0527,44.7856,7757.6317,52.76,5694.645,51.2985,7158.3055,48.246,7250.1127,46.2933,7960.5667
1,688021.SH,20211206,51.66,52.34,49.8,50.35,51.48,-1.1299999999999955,-2.195,4087.27,20689.772,52.432,4827.588,52.4031,6840.8623,47.4782,7591.5206,44.2104,8933.6494,44.9612,9855.5637,44.6555,7776.526,52.924,5870.313,51.1785,7519.8385,47.864,7833.9543,46.116,8006.14
2,688021.SH,20211203,52.52,53.41,51.08,51.48,51.83,-0.3500000000000014,-0.6753,3376.21,17611.541,53.464,6467.236,52.4108,7464.6538,47.3376,7647.4544,44.1212,8981.6152,45.0082,9868.4762,44.5415,7776.3957,53.074,6650.667,50.968,7707.351,47.599,7909.9093,45.9502,8177.0378
3,688021.SH,20211202,53.88,53.88,50.84,51.83,54.0,-2.1700000000000017,-4.0185,5941.13,30947.335,53.638,6632.45,52.3285,8170.1623,47.1403,7745.6985,44.0298,9044.7463,45.0353,9894.7386,44.4084,7791.2855,52.951,7360.2,50.624,7930.4985,47.3377,8060.9463,45.7437,8286.3987
4,688021.SH,20211201,55.27,55.27,52.85,54.0,54.5,-0.5,-0.9174,4040.22,21656.203,54.098,6427.484,52.1223,8327.3862,46.93,7659.0088,43.9355,9074.3323,45.0654,9912.6696,44.2808,7787.8279,52.758,7552.66,50.236,8061.42,47.1653,8047.9633,45.5238,8413.6545
5,688021.SH,20211130,54.89,56.26,54.31,54.5,55.51,-1.009999999999998,-1.8195,6693.11,36789.447,53.896,7025.156,51.6677,8399.8854,46.6509,7742.2782,43.8239,9142.5709,45.0834,9942.8598,44.1263,7782.5367,52.403,8368.294,49.6575,8348.6485,46.8867,8022.229,45.2353,8493.7592
6,688021.SH,20211129,51.35,56.49,50.04,55.51,52.35,3.1599999999999966,6.0363,12285.51,67165.327,53.416,6913.038,51.1692,8415.0685,46.2853,7881.8147,43.7086,9285.9402,45.118,9955.354,43.9592,7734.0493,51.994,8953.765,48.8925,8266.8145,46.589,7998.7593,44.932,8534.7443
7,688021.SH,20211126,54.3,54.35,51.89,52.35,54.13,-1.7800000000000011,-3.2884,4202.28,22193.48,52.684,6834.098,50.6031,7874.3708,45.9476,7629.2391,43.5992,9358.7439,45.1453,9933.8443,43.7893,7678.6035,51.358,8523.718,48.129,7920.434,46.231,7813.126,44.6392,8384.5538
8,688021.SH,20211125,53.5,54.87,52.2,54.13,52.99,1.1400000000000006,2.1513,4916.3,26582.523,52.264,8087.95,50.2731,8443.9262,45.7479,7590.1779,43.5252,9558.869,45.203,9972.8552,43.674,7786.6807,50.932,8601.761,47.5315,8084.645,45.9753,7772.8393,44.4047,8406.1023
9,688021.SH,20211124,52.96,54.0,49.18,52.99,52.1,0.8900000000000006,1.7083,7028.58,36628.815,51.418,8677.836,49.6585,8668.6354,45.5076,7553.1668,43.4345,9957.5637,45.2429,9982.5185,43.5029,7832.8464,50.321,8799.18,46.7315,8087.1425,45.6547,7838.0087,44.1538,8401.2728
