,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma5,ma_v_5,ma13,ma_v_13,ma34,ma_v_34,ma144,ma_v_144,ma169,ma_v_169,ma75,ma_v_75,ma10,ma_v_10,ma20,ma_v_20,ma30,ma_v_30,ma60,ma_v_60,ma120,ma_v_120
0,002876.SZ,20220527,26.65,27.15,25.8,26.11,26.49,-0.379999999999999,-1.4345,39998.89,105579.051,26.956,57033.518,27.4267,59648.0638,27.6309,48681.2644,45.8421,34605.4067,46.7916,34223.0774,36.849,39067.6221,27.5213,56554.891,26.7226,51976.1305,27.3687,48570.9047,32.883,44106.2288,44.359,34416.496
1,002876.SZ,20220526,26.88,27.08,25.73,26.49,26.88,-0.39000000000000057,-1.4509,51667.75,136249.157,27.544,64269.06,27.3736,59493.6338,27.8099,48768.8585,45.9989,34435.2247,46.9779,34118.0112,37.1884,38880.5007,27.6511,58470.582,26.6342,52379.459,27.4739,48510.324,33.3003,43778.1967,44.6182,34233.3736
2,002876.SZ,20220525,26.88,27.46,26.58,26.88,26.77,0.10999999999999943,0.4109,46309.66,124690.71,27.872,65729.55,27.2357,58608.6769,27.9952,48264.5821,46.1551,34188.5085,47.1652,34016.253,37.5115,38722.3825,27.7766,62508.267,26.6187,52155.124,27.5375,48656.8127,33.6974,43575.6457,44.8839,33956.7317
3,002876.SZ,20220524,28.53,29.13,26.62,26.77,28.53,-1.7600000000000016,-6.1689,78389.25,218433.303,28.1359,68527.236,27.1157,57402.2608,28.179,47946.9012,46.312,34025.7006,47.3502,33964.2704,37.8642,38686.0125,27.7067,63744.853,26.7292,51692.785,27.6409,49124.707,34.1348,43125.9493,45.1467,33766.1586
4,002876.SZ,20220523,29.11,29.49,27.95,28.53,29.05,-0.5199999999999996,-1.79,68802.04,196255.236,28.3665,60744.158,27.0757,54285.5554,28.3942,46867.5994,46.4766,33609.5864,47.5187,33646.3373,38.2205,37890.0952,27.5716,59705.058,26.8502,49949.493,27.7733,47959.9147,34.5499,42232.4162,45.4206,33374.2328
5,002876.SZ,20220520,28.86,29.39,28.18,29.05,28.13,0.9200000000000017,3.2705,76176.6,219244.315,28.0867,56076.264,26.8471,52416.0731,28.5416,46333.3771,46.63,33327.0128,47.6853,33407.6005,38.5775,37168.6987,27.1884,56841.185,26.9351,48412.231,27.8955,47099.083,34.9771,41270.9955,45.6681,33119.7118
6,002876.SZ,20220519,27.9,28.5,27.28,28.13,28.2,-0.07000000000000028,-0.2482,58970.2,163538.225,27.7583,52672.104,26.5168,49012.7931,28.7092,45590.9797,46.7773,32976.114,47.8437,33179.2164,38.9054,36380.5751,26.8154,52286.15,27.0074,46526.7555,28.0202,45710.608,35.3942,40146.2655,45.9118,32780.4158
7,002876.SZ,20220518,27.7247,28.9715,27.2102,28.1997,27.9226,0.2771000000000008,0.9924,60298.09,171809.711,27.6812,59286.984,26.3456,47631.4015,28.9298,44961.8318,46.9348,32721.0073,48.008,33108.9622,39.2388,35916.5375,26.6274,50176.338,27.1132,46642.0355,28.1868,44928.5517,35.8309,39347.9018,46.1512,32457.0155
8,002876.SZ,20220517,27.0123,27.9721,26.7254,27.9226,27.1311,0.7914999999999992,2.9173,39473.86,109750.126,27.2775,58962.47,26.0487,46690.43,29.1458,44535.3556,47.0978,32447.0887,48.1819,33147.3176,39.6009,35473.7625,26.3632,48596.406,27.1701,45176.12,28.3831,44308.3817,36.2729,38626.5603,46.3845,32252.698
9,002876.SZ,20220516,27.5071,28.2294,26.9134,27.1311,27.4081,-0.277000000000001,-1.0107,45462.57,126138.851,26.7768,58665.958,25.9148,47283.2908,29.4013,44326.2082,47.2632,32429.0401,48.3777,33336.7392,39.9891,35136.374,26.0466,47842.416,27.234,45173.7985,28.5704,44680.5357,36.7115,38320.7575,46.6249,32227.7341
