,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma5,ma_v_5,ma13,ma_v_13,ma34,ma_v_34,ma144,ma_v_144,ma169,ma_v_169,ma75,ma_v_75,ma10,ma_v_10,ma20,ma_v_20,ma30,ma_v_30,ma60,ma_v_60,ma120,ma_v_120
0,600452.SH,20220527,13.35,13.43,13.02,13.16,13.36,-0.1999999999999993,-1.497,75846.49,100058.803,13.034,129616.854,12.9146,110852.1546,12.7415,89058.6321,16.4965,125144.0197,16.453,124884.2876,14.1005,90100.2513,12.96,125349.285,12.65,96216.2965,12.634,89705.133,13.6768,86772.7798,16.2555,115536.1886
1,600452.SH,20220526,13.25,13.55,13.0,13.36,13.15,0.20999999999999908,1.597,127349.26,169677.329,13.102,156313.1,12.8762,109840.8669,12.7768,88343.525,16.5142,124952.1605,16.4784,125706.8621,14.1395,89871.462,12.929,123013.011,12.539,96865.25,12.632,91504.7833,13.7282,87718.883,16.3168,115556.3315
2,600452.SH,20220525,12.35,13.24,12.21,13.15,12.37,0.7800000000000011,6.3056,151818.24,195262.923,12.97,165270.918,12.7985,103055.3385,12.8012,85992.8003,16.5309,124855.7115,16.4993,126179.6538,14.1784,89292.9869,12.871,117093.363,12.434,96351.23,12.6267,90124.848,13.7657,88173.5938,16.3751,115580.6055
3,600452.SH,20220524,13.18,13.27,12.37,12.37,13.13,-0.7600000000000016,-5.7883,150143.87,192117.347,12.95,162235.696,12.73,95224.1446,12.8321,82886.0953,16.5474,124202.8422,16.5227,126521.923,14.2265,88462.6753,12.822,108606.402,12.4005,91739.886,12.651,87173.5807,13.8138,87125.3897,16.4398,116324.3809
4,600452.SH,20220523,13.39,13.48,13.01,13.13,13.5,-0.3699999999999992,-2.7407,142926.41,187968.147,12.984,141268.514,12.7362,89589.8962,12.8874,80315.9474,16.5672,123452.5995,16.5463,126738.0885,14.2807,87844.5228,12.851,99861.99,12.405,88244.855,12.7057,84094.521,13.8667,85507.5668,16.502,116669.8156
5,600452.SH,20220520,12.8,13.73,12.62,13.5,12.7,0.8000000000000007,6.2992,209327.72,277484.318,12.886,121081.716,12.6777,85727.9454,12.9153,77708.2112,16.5827,122817.3614,16.5666,126826.0275,14.3353,87475.6579,12.773,89483.088,12.3975,83645.6765,12.7467,81048.069,13.9102,84308.3833,16.5562,117878.9182
6,600452.SH,20220519,12.89,12.96,12.22,12.7,13.05,-0.3500000000000014,-2.682,172138.35,214914.307,12.756,89712.922,12.5223,74433.1162,12.9371,73305.0985,16.5942,121820.5382,16.582,126626.7164,14.3859,86129.7457,12.649,73551.588,12.3815,77003.314,12.7697,75651.299,13.9443,81930.1358,16.5997,117854.0418
7,600452.SH,20220518,12.46,13.3,12.38,13.05,12.54,0.5100000000000016,4.067,136642.13,176121.727,12.772,68915.808,12.4331,68828.8915,12.9888,69698.1409,16.6122,120995.4968,16.6003,126012.3063,14.4544,84825.5657,12.624,64027.617,12.4025,71723.4375,12.8197,71453.0297,13.9927,80726.1965,16.6555,118268.1894
8,600452.SH,20220517,12.64,12.69,12.3,12.54,12.64,-0.10000000000000142,-0.7911,45307.96,56278.71,12.694,54977.108,12.2708,65150.6938,13.0397,67439.6521,16.6262,120488.8243,16.6163,125774.9207,14.5252,84001.0936,12.556,59635.509,12.4185,70273.7355,12.8597,68990.2533,14.0323,80015.8412,16.7034,121054.5252
9,600452.SH,20220516,12.85,12.88,12.46,12.64,12.85,-0.20999999999999908,-1.6342,41992.42,53255.689,12.718,58455.466,12.1723,70670.7631,13.1082,68878.7506,16.6455,121168.8535,16.6361,126211.2682,14.6068,85992.7144,12.45,61354.207,12.457,70877.113,12.911,69288.7673,14.0738,81956.1142,16.7562,125092.5553
