modecode,modename,info
f1,SCS1,-----SCS1 成功了20211209--尚纬股份**603333.SH
f1,SCS1,-----SCS1 成功了20211209--索通发展--强势股票**603612.SH
f1,SCS1,-----SCS1 成功了20211209--伊戈尔**002922.SZ
f1,SCS1,-----SCS1 成功了20211209--华宏科技--有钱君股票池**002645.SZ
f1,SCS1,-----SCS1 成功了20211209--科瑞技术**002957.SZ
f1,SCS1,-----SCS1 成功了20211209--日丰股份**002953.SZ
f1,SCS1,-----SCS1 成功了20211209--南方轴承**002553.SZ
f1,SCS1,-----SCS1 成功了20211209--华夏航空--强势股票**002928.SZ
f1,SCS1,-----SCS1 成功了20211209--润建股份**002929.SZ
f1,SCS1,-----SCS1 成功了20211209--东方中科**002819.SZ
f1,SCS1,-----SCS1 成功了20211209--集泰股份--强势股票**002909.SZ
f10,有惊无险1,阴线大小=5.92-----有惊无险1 ----603028.SH ----20211206--赛福天**603028.SH
f10,有惊无险1,阴线大小=5.07-----有惊无险1 ----600148.SH ----20211206--长春一东--强势股票**600148.SH
f10,有惊无险1,阴线大小=5.38-----有惊无险1 ----603890.SH ----20211206--春秋电子**603890.SH
f10,有惊无险1,阴线大小=5.28-----有惊无险1 ----600141.SH ----20211206--兴发集团--强势股票**600141.SH
f10,有惊无险1,阴线大小=5.63-----有惊无险1 ----603879.SH ----20211206--永悦科技**603879.SH
f10,有惊无险1,阴线大小=5.56-----有惊无险1 ----000792.SZ ----20211206--盐湖股份--强势股票**000792.SZ
f10,有惊无险1,阴线大小=3.77-----有惊无险1 ----603928.SH ----20211206--兴业股份**603928.SH
f10,有惊无险1,阴线大小=3.99-----有惊无险1 ----002518.SZ ----20211206--科士达--强势股票**002518.SZ
f10,有惊无险1,阴线大小=4.18-----有惊无险1 ----603239.SH ----20211206--浙江仙通--强势股票**603239.SH
f10,有惊无险1,阴线大小=5.61-----有惊无险1 ----002411.SZ ----20211206--延安必康**002411.SZ
f10,有惊无险1,阴线大小=8.66-----有惊无险1 ----002140.SZ ----20211206--东华科技**002140.SZ
f10,有惊无险1,阴线大小=4.19-----有惊无险1 ----600562.SH ----20211206--国睿科技--强势股票**600562.SH
f10,有惊无险1,阴线大小=3.71-----有惊无险1 ----600888.SH ----20211206--新疆众和**600888.SH
f10,有惊无险1,阴线大小=4.53-----有惊无险1 ----000962.SZ ----20211206--东方钽业--强势股票**000962.SZ
f10,有惊无险1,阴线大小=4.68-----有惊无险1 ----002402.SZ ----20211206--和而泰--有钱君股票池**002402.SZ
f11,有惊无险2,阴线大小=7.49-----有惊无险2-1-----20211208--众源新材--强势股票**603527.SH
f11,有惊无险2,阴线大小=4.23-----有惊无险2-1-----20211208--天通股份**600330.SH
f11,有惊无险2,阴线大小=3.33-----有惊无险2-1-----20211208--卧龙地产**600173.SH
f11,有惊无险2,阴线大小=3.6-----有惊无险2-1-----20211208--江山股份--强势股票**600389.SH
f13,九死一生2,----九死一生2 底部弱势反转 --20211210--外服控股**600662.SH
f2,一阳穿多均,---一阳穿多均 成功了20211210--达意隆**002209.SZ
f2,一阳穿多均,---一阳穿多均 成功了20211210--乾景园林**603778.SH
f2,一阳穿多均,---一阳穿多均 成功了20211210--楚江新材--强势股票**002171.SZ
f2,一阳穿多均,---一阳穿多均 成功了20211210--东华科技**002140.SZ
f2,一阳穿多均,---一阳穿多均 成功了20211210--万丰奥威**002085.SZ
f2,一阳穿多均,---一阳穿多均 成功了20211210--钱江摩托**000913.SZ
f2,一阳穿多均,---一阳穿多均 成功了20211210--联明股份--强势股票**603006.SH
f2,一阳穿多均,---一阳穿多均 成功了20211210--隆鑫通用--强势股票**603766.SH
f2,一阳穿多均,---一阳穿多均 成功了20211210--四川美丰--强势股票**000731.SZ
f2,一阳穿多均,---一阳穿多均 成功了20211210--珠海中富--强势股票**000659.SZ
f2,一阳穿多均,---一阳穿多均 成功了20211210--新澳股份--强势股票**603889.SH
f2,一阳穿多均,---一阳穿多均 成功了20211210--南华生物**000504.SZ
f2,一阳穿多均,---一阳穿多均 成功了20211210--湖北宜化--强势股票**000422.SZ
f2,一阳穿多均,---一阳穿多均 成功了20211210--浩物股份**000757.SZ
f2,一阳穿多均,---一阳穿多均 成功了20211210--奥飞娱乐**002292.SZ
f2,一阳穿多均,---一阳穿多均 成功了20211210--五洲新春--强势股票**603667.SH
f2,一阳穿多均,---一阳穿多均 成功了20211210--北特科技**603009.SH
f2,一阳穿多均,---一阳穿多均 成功了20211210--罗普斯金**002333.SZ
f2,一阳穿多均,---一阳穿多均 成功了20211210--东方铁塔--强势股票**002545.SZ
f2,一阳穿多均,---一阳穿多均 成功了20211210--卫星化学--有钱君股票池**002648.SZ
f2,一阳穿多均,---一阳穿多均 成功了20211210--京威股份**002662.SZ
f2,一阳穿多均,---一阳穿多均 成功了20211210--金轮股份--强势股票**002722.SZ
f2,一阳穿多均,---一阳穿多均 成功了20211210--麦格米特**002851.SZ
f2,一阳穿多均,---一阳穿多均 成功了20211210--元隆雅图--强势股票**002878.SZ
f2,一阳穿多均,---一阳穿多均 成功了20211210--天通股份**600330.SH
f2,一阳穿多均,---一阳穿多均 成功了20211210--动力源**600405.SH
f2,一阳穿多均,---一阳穿多均 成功了20211210--凤竹纺织**600493.SH
f2,一阳穿多均,---一阳穿多均 成功了20211210--中国高科--强势股票**600730.SH
f2,一阳穿多均,---一阳穿多均 成功了20211210--湖南海利**600731.SH
f2,一阳穿多均,---一阳穿多均 成功了20211210--罗莱生活**002293.SZ
f2,一阳穿多均,---一阳穿多均 成功了20211210--兴发集团--强势股票**600141.SH
f21,有钱君,-----有钱君-120-250 均线交易法 成功了 ----20210917--code_name is null-603259.SH--小树股票池--有钱君股票池**603259.SH
f3,见龙在田1,--阳线大小=0.85--小阴线大小=0.14--小阴线振幅=1.84--小阴线上下影线倍数=1.99950012497--见龙在田--20211208--凤凰传媒--强势股票**601928.SH
f3,反客为主,"中阴线=-3.11,大阳线=5.99-涨幅-6.8534-----反客为主  刚起来 不超过 3 个月 强庄主力仅用一天的强势洗盘 ----20211209--万里石**002785.SZ"
f8,蜻蜓点水,"-----缺口理论, 蜻蜓点水 成功了 ----20211129--力合科创**002243.SZ"
f8,蜻蜓点水,"-----缺口理论, 蜻蜓点水 成功了 ----20211129--嘉化能源--强势股票**600273.SH"
f8,蜻蜓点水,"-----缺口理论, 蜻蜓点水 成功了 ----20211129--岱美股份**603730.SH"
f9,凌波微步,"-----缺口理论, 凌波微步  成功了 ----20211201--京城股份**600860.SH"
f9,凌波微步,"-----缺口理论, 凌波微步  成功了 ----20211201--中国海防--强势股票**600764.SH"
f9,凌波微步,"-----缺口理论, 凌波微步  成功了 ----20211201--青海春天**600381.SH"
f9,凌波微步,"-----缺口理论, 凌波微步  成功了 ----20211201--泉阳泉**600189.SH"
f9,凌波微步,"-----缺口理论, 凌波微步  成功了 ----20211201--上海电力**600021.SH"
f9,凌波微步,"-----缺口理论, 凌波微步  成功了 ----20211201--中装建设**002822.SZ"
f9,凌波微步,"-----缺口理论, 凌波微步  成功了 ----20211201--美锦能源--有钱君股票池**000723.SZ"
f9,凌波微步,"-----缺口理论, 凌波微步  成功了 ----20211201--天奇股份**002009.SZ"
f9,凌波微步,"-----缺口理论, 凌波微步  成功了 ----20211201--山东路桥--强势股票**000498.SZ"
f9,凌波微步,"-----缺口理论, 凌波微步  成功了 ----20211201--镇海股份--强势股票**603637.SH"
f9,凌波微步,"-----缺口理论, 凌波微步  成功了 ----20211201--瑞和股份**002620.SZ"
xxxx,以逸待劳,-----以逸待劳7天数据主力洗盘 短期爆发 筑底后 缓慢上涨----20211202--新宏泰**603016.SH
xxxx,以逸待劳,-----以逸待劳7天数据主力洗盘 短期爆发 筑底后 缓慢上涨----20211202--安纳达**002136.SZ
xxxx,以逸待劳,-----以逸待劳7天数据主力洗盘 短期爆发 筑底后 缓慢上涨----20211202--卧龙地产**600173.SH
xxxx,00_测试定时任务,下载数据开始=20211210--平安银行--小树股票池**000001.SZ
