modecode,modename,info
a3,筹码突破,--筹码突破--20220316--持仓量_周线开始=20211231-结束=20220311--中间值=10.84--周数=8--换手率=101.4----三特索道**002159.SZ
a3,筹码突破,--筹码突破--20220316--持仓量_周线开始=20211231-结束=20220311--中间值=5.71--周数=8--换手率=130.9----哈工智能**000584.SZ
a3,筹码突破,--筹码突破--20220316--持仓量_周线开始=20211231-结束=20220311--中间值=6.15--周数=10--换手率=97.3----东北制药**000597.SZ
a3,筹码突破,--筹码突破--20220316--持仓量_周线开始=20211231-结束=20220311--中间值=5.3--周数=9--换手率=388.9----华媒控股**000607.SZ
a3,筹码突破,--筹码突破--20220316--持仓量_周线开始=20211231-结束=20220311--中间值=8.5--周数=8--换手率=317.8----西安旅游**000610.SZ
a3,筹码突破,--筹码突破--20220316--持仓量_周线开始=20211231-结束=20220311--中间值=6.0--周数=7--换手率=98.0----合金投资**000633.SZ
a3,筹码突破,--筹码突破--20220316--持仓量_周线开始=20211231-结束=20220311--中间值=8.61--周数=8--换手率=179.6----经纬纺机**000666.SZ
a3,筹码突破,--筹码突破--20220316--视觉中国**000681.SZ
a3,筹码突破,--筹码突破--20220316--持仓量_周线开始=20211231-结束=20220311--中间值=4.35--周数=9--换手率=364.2----西安饮食**000721.SZ
a3,筹码突破,--筹码突破--20220316--持仓量_周线开始=20211231-结束=20220311--中间值=3.69--周数=6--换手率=357.5----粤宏远A**000573.SZ
a3,筹码突破,--筹码突破--20220316--北大医药**000788.SZ
a3,筹码突破,--筹码突破--20220316--持仓量_周线开始=20211231-结束=20220311--中间值=8.12--周数=7--换手率=700.1----银星能源**000862.SZ
a3,筹码突破,--筹码突破--20220316--持仓量_周线开始=20211231-结束=20220311--中间值=7.23--周数=7--换手率=211.3----峨眉山A--强势股票**000888.SZ
a3,筹码突破,--筹码突破--20220316--欢瑞世纪**000892.SZ
a3,筹码突破,--筹码突破--20220316--持仓量_周线开始=20211231-结束=20220311--中间值=4.21--周数=7--换手率=237.5----景峰医药**000908.SZ
a3,筹码突破,--筹码突破--20220316--持仓量_周线开始=20211231-结束=20220311--中间值=7.75--周数=9--换手率=185.7----数源科技**000909.SZ
a3,筹码突破,--筹码突破--20220316--持仓量_周线开始=20211231-结束=20220311--中间值=4.93--周数=7--换手率=57.6----重药控股**000950.SZ
a3,筹码突破,--筹码突破--20220316--持仓量_周线开始=20211231-结束=20220311--中间值=2.8--周数=8--换手率=145.2----天保基建**000965.SZ
a3,筹码突破,--筹码突破--20220316--持仓量_周线开始=20211231-结束=20220311--中间值=4.73--周数=6--换手率=82.3----佛塑科技**000973.SZ
a3,筹码突破,--筹码突破--20220316--持仓量_周线开始=20211231-结束=20220311--中间值=9.61--周数=6--换手率=74.8----承德露露**000848.SZ
a3,筹码突破,--筹码突破--20220316--持仓量_周线开始=20211231-结束=20220311--中间值=6.04--周数=7--换手率=283.2----桂林旅游--强势股票**000978.SZ
a3,筹码突破,--筹码突破--20220316--持仓量_周线开始=20211231-结束=20220311--中间值=5.92--周数=8--换手率=493.5----泰山石油**000554.SZ
a3,筹码突破,--筹码突破--20220316--持仓量_周线开始=20211231-结束=20220311--中间值=4.88--周数=6--换手率=761.9----冰山冷热**000530.SZ
a3,筹码突破,--筹码突破--20220316--持仓量_周线开始=20211231-结束=20220311--中间值=16.6--周数=6--换手率=246.3----伊戈尔**002922.SZ
a3,筹码突破,--筹码突破--20220316--中新赛克**002912.SZ
a3,筹码突破,--筹码突破--20220316--持仓量_周线开始=20211231-结束=20220311--中间值=7.31--周数=8--换手率=91.4----金逸影视**002905.SZ
a3,筹码突破,--筹码突破--20220316--持仓量_周线开始=20211231-结束=20220311--中间值=38.2--周数=7--换手率=148.4----意华股份**002897.SZ
a3,筹码突破,--筹码突破--20220316--持仓量_周线开始=20211231-结束=20220311--中间值=19.68--周数=7--换手率=368.2----京泉华**002885.SZ
a3,筹码突破,--筹码突破--20220316--持仓量_周线开始=20211231-结束=20220311--中间值=32.63--周数=6--换手率=132.6----香山股份--强势股票**002870.SZ
a3,筹码突破,--筹码突破--20220316--持仓量_周线开始=20211231-结束=20220311--中间值=25.99--周数=6--换手率=278.1----盘龙药业**002864.SZ
a3,筹码突破,--筹码突破--20220316--麦格米特**002851.SZ
a3,筹码突破,--筹码突破--20220316--持仓量_周线开始=20211231-结束=20220311--中间值=4.13--周数=8--换手率=67.5----湖南投资**000548.SZ
a3,筹码突破,--筹码突破--20220316--持仓量_周线开始=20211231-结束=20220311--中间值=30.81--周数=8--换手率=423.9----丰元股份**002805.SZ
a3,筹码突破,--筹码突破--20220316--持仓量_周线开始=20211231-结束=20220311--中间值=11.21--周数=8--换手率=288.9----名雕股份**002830.SZ
a3,筹码突破,--筹码突破--20220316--持仓量_周线开始=20211231-结束=20220311--中间值=7.78--周数=8--换手率=227.2----皇庭国际**000056.SZ
a3,筹码突破,--筹码突破--20220316--持仓量_周线开始=20211231-结束=20220311--中间值=3.28--周数=7--换手率=81.8----海王生物**000078.SZ
a3,筹码突破,--筹码突破--20220316--持仓量_周线开始=20211231-结束=20220311--中间值=3.93--周数=9--换手率=110.2----民生控股**000416.SZ
a3,筹码突破,--筹码突破--20220316--持仓量_周线开始=20211231-结束=20220311--中间值=3.41--周数=8--换手率=239.7----华天酒店**000428.SZ
a3,筹码突破,--筹码突破--20220316--持仓量_周线开始=20211231-结束=20220311--中间值=5.95--周数=8--换手率=211.2----张家界--强势股票**000430.SZ
a3,筹码突破,--筹码突破--20220316--持仓量_周线开始=20211231-结束=20220311--中间值=17.51--周数=7--换手率=38.2----南华生物**000504.SZ
a3,筹码突破,--筹码突破--20220316--持仓量_周线开始=20211231-结束=20220311--中间值=3.89--周数=9--换手率=189.8----渝开发**000514.SZ
a3,筹码突破,--筹码突破--20220316--持仓量_周线开始=20211231-结束=20220311--中间值=9.59--周数=8--换手率=70.9----新宏泽**002836.SZ
a3,筹码突破,--筹码突破--20220316--持仓量_周线开始=20211231-结束=20220311--中间值=11.55--周数=6--换手率=151.4----闽东电力**000993.SZ
