modecode,modename,info
a3,筹码突破,--筹码突破--20220323--持仓量_周线开始=20220107-结束=20220318--中间值=6.65--周数=7--换手率=353.7----汉森制药**002412.SZ
a3,筹码突破,--筹码突破--20220323--招商积余**001914.SZ
a3,筹码突破,--筹码突破--20220323--持仓量_周线开始=20220107-结束=20220318--中间值=10.11--周数=6--换手率=37.7----双象股份**002395.SZ
a3,筹码突破,--筹码突破--20220323--持仓量_周线开始=20220107-结束=20220318--中间值=2.8--周数=8--换手率=177.0----天保基建**000965.SZ
a3,筹码突破,--筹码突破--20220323--持仓量_周线开始=20220107-结束=20220318--中间值=4.86--周数=9--换手率=108.9----宝莫股份**002476.SZ
a3,筹码突破,--筹码突破--20220323--莱茵体育**000558.SZ
a3,筹码突破,--筹码突破--20220323--持仓量_周线开始=20220107-结束=20220318--中间值=5.4--周数=8--换手率=777.4----亚太药业**002370.SZ
a3,筹码突破,--筹码突破--20220323--持仓量_周线开始=20220107-结束=20220318--中间值=6.44--周数=6--换手率=258.2----新金路--强势股票**000510.SZ
a3,筹码突破,--筹码突破--20220323--持仓量_周线开始=20220107-结束=20220318--中间值=7.78--周数=8--换手率=218.9----皇庭国际**000056.SZ
a31,建仓破绽,--建仓破绽  成功了--20220310--持仓量_周线开始=20211224-结束=20220304--中间值=5.47--周数=10--换手率=49.7----读者传媒**603999.SH
a31,建仓破绽,--建仓破绽  成功了--20220310--持仓量_周线开始=20211224-结束=20220304--中间值=3.54--周数=6--换手率=388.6----首航高科**002665.SZ
a4,短线强庄股,--短线强庄股成功了--20220318--持仓量_周线开始=20220107-结束=20220318--中间值=8.35--周数=7--换手率=150.6----莱茵生物**002166.SZ
a4,短线强庄股,--短线强庄股成功了--20220318--持仓量_周线开始=20220107-结束=20220318--中间值=12.57--周数=8--换手率=134.8----欧亚集团**600697.SH
a4,短线强庄股,--短线强庄股成功了--20220318--持仓量_周线开始=20220107-结束=20220318--中间值=5.19--周数=9--换手率=64.6----晋亿实业**601002.SH
a4,短线强庄股,--短线强庄股成功了--20220318--持仓量_周线开始=20220107-结束=20220318--中间值=8.06--周数=8--换手率=38.7----同济科技**600846.SH
a4,短线强庄股,--短线强庄股成功了--20220318--持仓量_周线开始=20220107-结束=20220318--中间值=3.68--周数=9--换手率=151.5----全筑股份**603030.SH
a4,短线强庄股,--短线强庄股成功了--20220318--持仓量_周线开始=20220107-结束=20220318--中间值=6.58--周数=9--换手率=145.7----福成股份**600965.SH
a4,短线强庄股,--短线强庄股成功了--20220318--招商积余**001914.SZ
a4,短线强庄股,--短线强庄股成功了--20220318--持仓量_周线开始=20220107-结束=20220318--中间值=3.92--周数=9--换手率=28.8----上实发展**600748.SH
a4,短线强庄股,--短线强庄股成功了--20220318--持仓量_周线开始=20220107-结束=20220318--中间值=6.6--周数=8--换手率=45.4----江河集团**601886.SH
a4,短线强庄股,--短线强庄股成功了--20220318--持仓量_周线开始=20220107-结束=20220318--中间值=3.57--周数=6--换手率=139.0----浙江永强**002489.SZ
a4,短线强庄股,--短线强庄股成功了--20220318--持仓量_周线开始=20220107-结束=20220318--中间值=8.97--周数=6--换手率=57.5----汉马科技**600375.SH
a4,短线强庄股,--短线强庄股成功了--20220318--莱茵体育**000558.SZ
a4,短线强庄股,--短线强庄股成功了--20220318--持仓量_周线开始=20220107-结束=20220318--中间值=3.91--周数=7--换手率=90.9----文科园林**002775.SZ
a4,短线强庄股,--短线强庄股成功了--20220318--持仓量_周线开始=20220107-结束=20220318--中间值=8.23--周数=7--换手率=135.1----世嘉科技--强势股票**002796.SZ
a4,短线强庄股,--短线强庄股成功了--20220318--持仓量_周线开始=20220107-结束=20220318--中间值=18.14--周数=8--换手率=165.6----和科达**002816.SZ
a4,短线强庄股,--短线强庄股成功了--20220318--持仓量_周线开始=20220107-结束=20220318--中间值=12.55--周数=7--换手率=55.5----瀛通通讯**002861.SZ
a4,短线强庄股,--短线强庄股成功了--20220318--持仓量_周线开始=20220107-结束=20220318--中间值=8.95--周数=10--换手率=52.4----畅联股份**603648.SH
a4,短线强庄股,--短线强庄股成功了--20220318--持仓量_周线开始=20220107-结束=20220318--中间值=3.78--周数=7--换手率=52.8----晋西车轴**600495.SH
