trade_date,open,close,high,low
2021-12-31,12.58,12.52,13.95,12.42
2021-11-30,11.46,12.64,12.76,10.79
2021-10-31,14.05,11.55,14.45,11.07
2021-09-30,12.84,13.61,16.15,12.01
2021-08-31,11.07,12.62,13.03,10.93
2021-07-31,10.6966,11.08,11.78,10.3437
2021-06-30,11.5496,10.7358,12.432,10.5103
2021-05-31,10.9123,11.5398,11.8732,10.8927
2021-04-30,11.0888,10.8535,11.8634,10.4809
2021-03-31,12.4418,10.9319,12.9516,10.677
2021-02-28,10.8829,12.1477,13.9713,10.0495
2021-01-31,9.9417,10.8535,11.2163,9.4613
2020-12-31,11.2,9.9417,11.45,9.5495
2020-11-30,9.51,10.981,12.62,9.324
2020-10-31,8.76,9.2162,9.9,8.5789
2020-09-30,9.8,8.4808,9.95,8.4416
2020-08-31,9.93,9.5985,10.34,9.373
2020-07-31,8.6105,9.6279,10.8341,8.3556
2020-06-30,8.9631,8.6105,9.3941,8.4244
2020-05-31,9.1982,8.9239,9.9819,8.5909
2020-04-30,8.4048,9.3256,10.1484,7.9836
2020-03-31,10.8831,8.5321,13.0872,7.9542
2020-02-29,7.9444,10.3443,10.9615,7.1117
2020-01-31,7.6505,7.8562,8.0913,7.4154
2019-12-31,7.7778,7.6015,7.9444,7.3566
2019-11-30,7.9639999999999995,7.7778,8.1893,7.5427
2019-10-31,7.7289,7.9542,8.443999999999999,7.6995
2019-09-30,7.5917,7.7289,8.6693,7.5427
2019-08-31,7.9346,7.5917,8.0815,7.2979
2019-07-31,8.5909,7.9542,9.1688,7.9248
2019-06-30,8.443999999999999,8.4342,8.9044,8.0815
2019-05-31,9.7409,8.4929,9.8969,8.2296
2019-04-30,9.8677,10.1992,12.9489,9.8677
2019-03-31,8.5513,9.6336,9.9652,8.5026
2019-02-28,7.7615,8.5513,8.8926,7.7323
2019-01-31,7.8395,7.7713,8.0735,7.7323
2018-12-31,8.0638,7.859,8.21,7.702999999999999
2018-11-30,8.2881,7.898,8.4538,7.82
2018-10-31,8.6001,8.2881,9.0779,7.3422
2018-09-30,8.4051,8.7366,8.7853,8.054
2018-08-31,9.3996,8.3368,9.4581,7.9858
2018-07-31,9.5946,9.4679,9.6239,8.7366
2018-06-30,10.9602,9.5264,11.2126,8.8926
2018-05-31,10.6496,11.0185,12.5232,10.1933
2018-04-30,11.1738,9.6788,11.2126,9.6108
2018-03-31,10.9117,11.1738,12.2028,10.4651
2018-02-28,12.1349,10.9894,12.2125,9.8147
2018-01-31,11.9601,12.1737,13.1736,11.6592
2017-12-31,11.65,12.21,12.91,11.39
2017-11-30,10.98,11.58,12.54,10.85
2017-10-31,11.34,10.96,11.38,10.35
2017-09-30,11.59,11.16,12.51,11.06
2017-08-31,11.97,11.56,12.35,11.33
2017-07-31,10.95,11.99,12.05,10.37
2017-06-30,11.0927,10.91,11.1425,9.9486
2017-05-31,11.8886,11.1723,12.0975,10.645
2017-04-30,12.8934,11.8588,13.2516,11.7095
2017-03-31,13.172,12.7641,13.4704,12.5253
2017-02-28,13.5301,13.2317,14.3957,13.0824
2017-01-31,12.2667,13.5401,13.8186,12.2667
2016-12-31,13.1819,12.3264,13.3511,11.7493
2016-11-30,13.162,13.0626,13.5699,12.7641
2016-10-31,15.2413,13.1421,15.7586,12.9432
2016-09-30,12.9432,15.0423,15.3209,12.8337
2016-08-31,12.0776,12.972999999999999,13.2018,11.6399
2016-07-31,12.1373,12.1572,13.5401,11.8488
2016-06-30,9.7198,12.1274,12.2866,9.302
2016-05-31,11.3213,9.68,11.7084,8.9936
2016-04-30,11.639000000000001,11.2518,12.9642,11.0086
2016-03-31,9.336,11.6439,12.716,8.7602
2016-02-29,9.2218,9.3062,11.3312,8.5319
2016-01-31,11.5645,9.2963,13.2967,8.7106
2015-12-31,12.845,11.6042,13.1528,11.366
2015-11-30,13.6938,12.8599,16.5973,12.2941
2015-10-31,12.710999999999999,13.7682,14.7311,12.4033
2015-09-30,10.7009,12.2643,13.6491,9.5047
2015-08-31,16.5774,10.8002,20.151,10.0358
2015-07-31,14.8899,17.1433,19.6547,10.7952
2015-06-30,23.4087,14.8055,25.6945,13.0882
2015-05-31,22.8285,23.2897,27.2713,21.3212
2015-04-30,14.0769,20.750999999999998,21.1228,13.9381
2015-03-31,10.3433,14.1116,14.429,9.777999999999999
2015-02-28,9.664,10.3433,10.5118,9.0243
2015-01-31,8.2211,9.658999999999999,9.9069,8.1566
