trade_date,ts_code,close,open,high,low,pre_close,change,pct_chg,vol,amount,WeekMa10,WeekMa60,Week60-10,Week10-60
20220121,603139.SH,18.33,21.87,22.0,18.13,21.85,-3.520000000000003,-16.1098,10394140.0,204992211.0,20.652999999999988,17.398049999999966,-3.254950000000022,3.254950000000022
20220114,603139.SH,21.85,21.0,23.08,21.0,21.55,0.3000000000000007,1.3921,15234473.0,335231366.0,20.672999999999988,17.400511666666635,-3.272488333333353,3.272488333333353
20220107,603139.SH,21.55,21.99,22.88,20.66,21.77,-0.21999999999999886,-1.0106,13962224.0,306826785.0,20.34299999999999,17.353436666666635,-2.9895633333333542,2.9895633333333542
20211231,603139.SH,21.77,21.07,22.2,20.47,21.06,0.7100000000000009,3.3713,8795288.0,187037375.0,20.00499999999999,17.313021666666636,-2.6919783333333527,2.6919783333333527
20211224,603139.SH,21.06,19.96,21.6,19.76,20.06,1.0,4.985,8229134.0,171442190.0,19.586999999999986,17.2725933333333,-2.3144066666666845,2.3144066666666845
20211217,603139.SH,20.06,22.47,22.94,19.81,22.27,-2.210000000000001,-9.9237,13231000.0,274978510.0,19.265999999999984,17.233206666666636,-2.0327933333333483,2.0327933333333483
20211210,603139.SH,22.27,21.76,23.42,20.69,21.47,0.8000000000000007,3.7261,15040910.0,327154490.0,19.026999999999983,17.2108183333333,-1.816181666666683,1.816181666666683
20211203,603139.SH,21.47,19.68,21.94,19.25,19.59,1.879999999999999,9.5967,7868723.0,160759683.0,18.512999999999984,17.1582383333333,-1.3547616666666826,1.3547616666666826
20211126,603139.SH,19.59,18.5,19.98,18.5,18.58,1.0100000000000016,5.436,5699881.0,110647328.0,18.101999999999983,17.1151733333333,-0.9868266666666834,0.9868266666666834
20211119,603139.SH,18.58,18.53,19.59,18.3,18.53,0.04999999999999716,0.2698,5012155.0,94577291.0,17.904999999999983,17.09381166666663,-0.8111883333333516,0.8111883333333516
20211112,603139.SH,18.53,18.55,18.88,18.24,18.55,-0.019999999999999574,-0.1078,4110909.0,76295160.0,17.772999999999982,17.0964233333333,-0.6765766666666835,0.6765766666666835
20211105,603139.SH,18.55,18.31,19.24,17.85,18.17,0.379999999999999,2.0914,7722395.0,144492749.0,17.62099999999998,17.09638166666663,-0.5246183333333505,0.5246183333333505
20211029,603139.SH,18.17,17.59,18.3,17.24,17.59,0.5800000000000018,3.2973,4307005.0,76907761.0,17.48999999999998,17.09119166666663,-0.3988083333333492,0.3988083333333492
20211022,603139.SH,17.59,17.79,18.56,17.33,17.85,-0.26000000000000156,-1.4566,4498436.0,81564979.0,17.373999999999977,17.12271666666663,-0.2512833333333475,0.2512833333333475
20211015,603139.SH,17.85,17.53,18.17,17.5,17.67,0.17999999999999972,1.0187,3530297.0,63003314.0,17.27999999999998,17.166398333333298,-0.11360166666668192,0.11360166666668192
20211008,603139.SH,17.67,17.21,17.85,17.17,17.13,0.5400000000000027,3.1524,1139884.0,20071996.0,17.15099999999998,17.1979433333333,0.04694333333332068,-0.04694333333332068
20210930,603139.SH,17.13,17.36,17.6,16.1,17.36,-0.23000000000000043,-1.3249,2909480.0,48935489.0,16.99299999999998,17.2349783333333,0.24197833333331786,-0.24197833333331786
20210924,603139.SH,17.36,17.27,18.0,17.24,17.62,-0.26000000000000156,-1.4756,1694100.0,29828005.0,16.94999999999998,17.286493333333297,0.33649333333331555,-0.33649333333331555
20210917,603139.SH,17.62,17.37,18.28,15.5,17.26,0.35999999999999943,2.0857,6955581.0,123151208.0,16.91599999999998,17.35741666666663,0.441416666666651,-0.441416666666651
20210910,603139.SH,17.26,16.99,17.6,16.87,17.01,0.25,1.4697,2847368.0,49221877.0,16.842999999999982,17.413548333333303,0.5705483333333206,-0.5705483333333206
20210903,603139.SH,17.01,17.11,17.48,16.72,17.24,-0.22999999999999687,-1.3341,2457250.0,41607110.0,16.840999999999983,17.4396533333333,0.598653333333317,-0.598653333333317
20210827,603139.SH,17.24,16.96,17.85,16.91,17.01,0.22999999999999687,1.3521,3654716.0,62865603.0,16.817999999999984,17.4870583333333,0.669058333333318,-0.669058333333318
20210820,603139.SH,17.01,16.7,17.2,16.32,16.65,0.360000000000003,2.1622,2916905.0,49218653.0,16.759479999999982,17.52269999999997,0.7632199999999862,-0.7632199999999862
20210813,603139.SH,16.65,16.51,16.9,16.4,16.56,0.08999999999999986,0.5435,1466401.0,24515543.0,16.752849999999984,17.558374999999966,0.8055249999999816,-0.8055249999999816
20210806,603139.SH,16.56,16.0,16.93,15.81,16.09,0.46999999999999886,2.9211,1905588.0,31686130.0,16.814089999999982,17.595754999999965,0.7816649999999825,-0.7816649999999825
20210730,603139.SH,16.09,16.8,16.8,15.56,16.7,-0.6099999999999994,-3.6527,1903375.0,30689667.0,16.927169999999983,17.6257133333333,0.6985433333333191,-0.6985433333333191
20210723,603139.SH,16.7,16.99,17.58,16.69,17.02,-0.3200000000000003,-1.8801,3448252.0,59448752.0,17.05436999999998,17.65491499999997,0.6005449999999897,-0.6005449999999897
20210716,603139.SH,17.02,16.95,17.46,16.62,16.89,0.129999999999999,0.7697,3118477.0,53132639.0,17.03590999999998,17.668498333333307,0.6325883333333273,-0.6325883333333273
20210709,603139.SH,16.89,17.29,17.49,16.81,17.24,-0.34999999999999787,-2.0302,2623943.0,45004711.0,16.91770999999998,17.669148333333304,0.7514383333333257,-0.7514383333333257
20210702,603139.SH,17.24,17.06,17.8,16.68,16.78,0.4599999999999973,2.7414,3885855.0,67133228.0,16.84438999999998,17.669818333333303,0.8254283333333241,-0.8254283333333241
20210625,603139.SH,16.78,16.73,17.11,16.6,16.72,0.060000000000002274,0.3589,1877465.0,31694183.0,16.704189999999976,17.663993333333302,0.9598033333333262,-0.9598033333333262
