trade_date,ts_code,close,open,high,low,pre_close,change,pct_chg,vol,amount,WeekMa10,WeekMa60,Week60-10,Week10-60
20220121,002673.SZ,7.88,7.8,7.97,7.79,7.82,0.05999999999999961,0.7673,96281285.0,756979975.34,7.935999999999988,8.521128333333346,0.5851283333333575,-0.5851283333333575
20220114,002673.SZ,7.82,7.98,8.06,7.81,7.98,-0.16000000000000014,-2.005,102135194.0,813226454.88,7.935999999999988,8.546793333333346,0.6107933333333575,-0.6107933333333575
20220107,002673.SZ,7.98,8.08,8.12,7.94,8.07,-0.08999999999999986,-1.1152,104413506.0,838132823.31,7.9279999999999875,8.570981666666679,0.6429816666666914,-0.6429816666666914
20211231,002673.SZ,8.07,7.88,8.09,7.86,7.89,0.1800000000000006,2.2814,99592311.0,794221946.52,7.895999999999987,8.591018333333345,0.6950183333333584,-0.6950183333333584
20211224,002673.SZ,7.89,8.05,8.13,7.87,8.09,-0.20000000000000018,-2.4722,120728265.0,967331167.95,7.869999999999988,8.612196666666676,0.7421966666666888,-0.7421966666666888
20211217,002673.SZ,8.09,8.26,8.32,8.01,8.17,-0.08000000000000007,-0.9792,149676405.0,1218165213.23,7.887999999999987,8.630926666666676,0.7429266666666896,-0.7429266666666896
20211210,002673.SZ,8.17,7.92,8.23,7.85,7.89,0.28000000000000025,3.5488,228678630.0,1841610499.81,7.914999999999987,8.65672333333334,0.7417233333333542,-0.7417233333333542
20211203,002673.SZ,7.89,7.69,7.94,7.66,7.74,0.14999999999999947,1.938,94805566.0,741455796.67,7.925999999999986,8.684985000000008,0.7589850000000222,-0.7589850000000222
20211126,002673.SZ,7.74,7.83,8.01,7.74,7.83,-0.08999999999999986,-1.1494,104459746.0,818952137.96,7.970999999999987,8.712795000000007,0.7417950000000202,-0.7417950000000202
20211119,002673.SZ,7.83,7.99,8.04,7.67,7.88,-0.04999999999999982,-0.6345,90455180.0,705632820.68,8.045999999999987,8.74062833333334,0.6946283333333536,-0.6946283333333536
20211112,002673.SZ,7.88,7.71,7.94,7.68,7.74,0.13999999999999968,1.8088,80765757.0,631396154.27,8.116999999999987,8.76993333333334,0.6529333333333529,-0.6529333333333529
20211105,002673.SZ,7.74,7.69,7.77,7.56,7.66,0.08000000000000007,1.0444,73532583.0,563546624.94,8.154999999999987,8.79559833333334,0.6405983333333527,-0.6405983333333527
20211029,002673.SZ,7.66,7.8,7.91,7.54,7.81,-0.14999999999999947,-1.9206,91422400.0,705648679.21,8.181999999999988,8.821781666666674,0.6397816666666856,-0.6397816666666856
20211022,002673.SZ,7.81,8.08,8.35,7.8,8.07,-0.2600000000000007,-3.2218,142038836.0,1144177876.77,8.23399999999999,8.855571666666673,0.621571666666684,-0.621571666666684
20211015,002673.SZ,8.07,8.31,8.39,8.05,8.36,-0.28999999999999915,-3.4689,116952541.0,958252806.36,8.213999999999988,8.887191666666673,0.6731916666666855,-0.6731916666666855
