trade_date,open,close,high,low
2021-12-31,10.49,13.33,13.41,10.36
2021-11-30,8.55,10.4,10.54,7.96
2021-10-31,9.43,8.59,9.89,8.35
2021-09-30,9.5,9.26,10.15,8.95
2021-08-31,10.04,9.56,10.98,9.52
2021-07-31,8.89,10.16,10.19,8.73
2021-06-30,9.0,8.88,10.25,8.83
2021-05-31,9.66,8.96,9.84,8.3
2021-04-30,9.2,9.59,10.35,9.05
2021-03-31,7.24,9.3,9.62,7.08
2021-02-28,7.16,7.28,7.99,7.05
2021-01-31,8.42,7.16,8.49,6.85
2020-12-31,9.68,8.42,10.28,8.0
2020-11-30,9.95,9.58,10.78,9.58
2020-10-31,9.56,9.96,11.19,9.56
2020-09-30,10.94,9.47,11.1,9.08
2020-08-31,10.1,10.96,11.7,9.68
2020-07-31,8.87,10.1,10.39,8.51
2020-06-30,7.92,8.87,9.04,7.78
2020-05-31,7.0,7.98,8.46,6.88
2020-04-30,6.74,7.05,7.15,6.5
2020-03-31,7.19,6.74,8.08,6.44
2020-02-29,6.9,7.19,7.54,6.21
2020-01-31,8.35,7.67,8.55,7.62
2019-12-31,8.13,8.36,8.49,7.85
2019-11-30,7.24,8.06,8.08,7.09
2019-10-31,7.16,7.15,7.73,6.86
2019-09-30,7.02,7.1,7.93,7.02
2019-08-31,6.96,7.01,7.82,6.55
2019-07-31,7.65,7.01,8.75,6.86
2019-06-30,7.18,7.6,8.12,7.01
2019-05-31,7.73,7.28,8.05,7.11
2019-04-30,9.24,7.8,9.71,7.57
2019-03-31,7.99,9.25,9.4,7.7
2019-02-28,6.68,7.96,8.25,6.66
2019-01-31,6.7,6.66,7.1,6.35
2018-12-31,7.0,6.7,7.48,6.54
2018-11-30,6.71,6.88,7.75,6.61
2018-10-31,7.58,6.66,7.65,6.27
2018-09-30,8.01,7.68,8.03,7.1
2018-08-31,10.23,8.04,10.48,7.76
2018-07-31,11.8,10.22,11.81,9.76
2018-06-30,14.6888,11.76,14.6888,11.21
2018-04-30,13.6878,13.3508,14.6492,12.8453
2018-03-31,13.0336,13.6878,14.0545,12.4687
2018-02-28,13.2219,13.103,13.7175,12.0425
2018-01-31,14.2726,13.0535,14.6492,12.9345
2017-12-31,13.24,14.56,14.68,13.24
2017-11-30,14.41,13.26,14.54,12.51
2017-10-31,15.39,14.41,15.5,14.2
2017-09-30,15.98,15.24,17.65,15.01
2017-08-31,15.51,16.1,16.18,15.04
2017-07-31,15.9,15.45,16.34,15.02
2017-06-30,15.56,15.93,16.1,14.54
2017-05-31,17.7,15.57,17.9,14.68
2017-04-30,17.0,17.8,18.15,15.8
2017-03-31,16.42,16.69,18.38,15.96
2017-02-28,15.7,16.35,16.79,15.6
2017-01-31,17.45,15.69,18.48,15.26
2016-12-31,18.61,17.45,18.82,17.0
2016-11-30,18.52,18.64,20.6,18.5
2016-10-31,20.16,18.62,20.71,18.07
2016-09-30,19.89,20.31,20.81,18.5
2016-08-31,15.9,19.93,21.48,15.62
2016-07-31,15.9,16.04,17.63,15.37
2016-06-30,14.9,16.0,16.48,13.29
2016-05-31,14.08,15.0,15.16,12.63
2016-04-30,15.48,13.99,16.4,13.52
2016-03-31,11.88,15.58,17.09,11.74
2016-02-29,12.39,11.83,14.89,11.6
2016-01-31,20.25,12.39,20.5,11.9
2015-12-31,21.56,20.58,23.6,19.63
2015-11-30,14.8,21.63,24.8,14.51
2015-10-31,13.8,15.13,16.5,13.3
2015-09-30,23.0,13.1,24.77,12.3
2015-08-31,29.3,23.53,34.99,22.0
2015-07-31,32.0,29.46,34.78,20.26
2015-06-30,70.0,32.69,72.5,28.05
2015-05-31,25.18,73.14,81.27,24.8
2015-04-30,12.93,22.89,22.89,12.93
