,ts_code,trade_date,close,turnover_rate,volume_ratio,pe,pb,circ_mv
77,300796.SZ,20220323,18.51,5.879,1.03,58.3806,2.1036,114489.4921
78,605007.SH,20220323,18.0,3.354,1.2,21.2673,3.8265,148248.8334
79,601678.SH,20220323,6.67,1.7773,1.49,27.0649,1.3456,1372710.1961
80,002235.SZ,20220323,6.2,13.5782,1.1,,2.8711,339930.7641
81,002688.SZ,20220323,5.19,1.033,0.94,34.523,1.635,397619.2471
82,300506.SZ,20220323,6.54,3.4432,1.16,,3.026,317289.8383
83,688129.SH,20220323,16.83,0.8619,0.75,25.7756,2.335,67202.19
84,300018.SZ,20220323,6.77,2.0152,0.7,71.0835,2.8,274247.0058
85,601858.SH,20220323,8.62,0.268,0.58,14.6449,1.572,681411.0
86,001313.SZ,20220323,18.89,55.7309,1.42,68.6047,4.9184,188900.0
87,000702.SZ,20220323,5.42,2.1997,0.61,43.0886,4.1221,144515.9402
88,301007.SZ,20220323,18.94,10.3648,1.18,58.7777,4.9222,72615.96
89,300622.SZ,20220323,16.72,1.6319,0.9,41.6752,4.6117,178286.4986
90,002829.SZ,20220323,38.74,1.421,0.59,54.4246,6.1368,372671.114
91,300229.SZ,20220323,11.7,4.293,2.22,34.0302,3.7818,834607.9989
92,300360.SZ,20220323,9.57,2.2982,1.07,16.4558,1.9005,417197.0988
93,601789.SH,20220323,9.23,43.3553,2.2,33.3962,2.7362,933724.1441
94,300115.SZ,20220323,10.5,1.2224,0.6,21.0131,2.2113,1256169.4362
95,300859.SZ,20220323,23.57,2.5569,0.5,,5.5496,225594.3625
96,300392.SZ,20220323,6.17,0.4404,0.71,,6.2621,182335.84
97,688551.SH,20220323,50.29,2.0948,1.48,74.4563,4.1492,260739.9359
98,688722.SH,20220323,12.27,1.6502,0.5,48.4298,2.7543,52817.3095
99,601336.SH,20220323,34.5,0.3142,0.61,7.5293,1.0274,7194765.723
100,601615.SH,20220323,24.86,3.3133,1.28,38.0707,2.693,4806428.4522
101,000727.SZ,20220323,2.5,0.5193,0.54,15.183,5.6924,854805.538
102,600114.SH,20220323,8.54,1.4401,0.8,60.1597,1.9928,526391.4894
103,002285.SZ,20220323,4.19,11.8261,3.89,76.835,1.6764,844052.1139
104,002882.SZ,20220323,9.38,0.9242,0.5,21.1569,2.0388,404406.975
105,600611.SH,20220323,3.33,0.3976,1.08,14.7047,0.8334,520584.3492
106,002506.SZ,20220323,3.46,0.9676,0.7,,5.244,2023930.5212
107,600468.SH,20220323,4.91,0.8388,0.94,50.0895,2.9437,550850.4637
108,300217.SZ,20220323,5.1,1.4226,0.65,121.6331,2.6163,457347.3317
109,600864.SH,20220323,5.64,0.5455,0.42,62.2507,0.8838,1173441.7733
110,688056.SH,20220323,41.8,1.1927,0.42,42.9467,3.5576,105983.9
111,600626.SH,20220323,3.84,0.5531,1.0,,1.2749,327279.8653
112,002930.SZ,20220323,19.52,0.2824,1.05,38.2996,4.1157,828281.4943
113,000407.SZ,20220323,3.94,1.3008,0.67,31.5136,1.3269,345028.231
114,000668.SZ,20220323,14.22,0.9351,1.23,,2.3233,208590.8948
115,603551.SH,20220323,9.38,1.6027,1.18,20.1023,2.1833,125444.686
116,603617.SH,20220323,14.63,1.6803,0.57,38.986,3.1239,291814.3412
117,603601.SH,20220323,9.18,0.4536,0.52,26.6796,3.3567,665578.4635
118,600724.SH,20220323,4.21,1.0566,0.86,14.4288,2.1234,608320.8615
119,300993.SZ,20220323,24.5,14.0832,0.68,29.8579,2.9164,80654.0
120,600232.SH,20220323,5.94,2.4921,0.98,44.1489,2.0733,216642.8151
121,002749.SZ,20220323,9.03,0.6819,0.9,23.0256,2.9296,250093.8235
122,603035.SH,20220323,14.48,2.058,0.54,14.4365,1.3339,522364.7142
123,600649.SH,20220323,4.38,1.1763,1.36,14.3948,0.5481,1107954.1277
124,603083.SH,20220323,13.75,4.7938,2.2,,2.0281,346803.2783
125,605208.SH,20220323,17.87,1.4736,0.93,14.7787,1.6733,171587.74
126,002571.SZ,20220323,6.89,1.7844,0.81,524.9637,1.8619,205532.9635
127,600184.SH,20220323,14.37,1.5175,1.53,140.8648,3.0101,731089.307
128,300212.SZ,20220323,23.36,1.5648,1.08,22.6851,4.0198,1448253.8725
129,000078.SZ,20220323,3.75,1.794,0.61,,1.7413,982949.8286
130,603970.SH,20220323,25.59,0.8653,0.75,37.0971,4.2765,244435.9257
131,300882.SZ,20220323,15.9,3.8506,1.33,37.2177,3.9734,91593.7308
132,300128.SZ,20220323,3.57,1.1619,1.05,,4.4696,390224.834
133,300491.SZ,20220323,15.0,1.9669,0.8,62.6979,2.7019,199830.8595
134,002677.SZ,20220323,13.71,0.7501,0.5,16.295,4.5321,572796.3884
135,603717.SH,20220323,9.16,9.8642,0.79,,1.6898,265773.9558
136,001202.SZ,20220323,16.86,8.1549,0.63,24.0583,2.9668,54360.012
137,603351.SH,20220323,30.0,4.0655,1.26,40.4628,3.0075,392000.196
138,600051.SH,20220323,8.49,11.0109,1.18,7.6776,0.8781,263937.12
139,002988.SZ,20220323,15.41,1.4319,0.45,30.9414,1.6349,129782.0322
140,600636.SH,20220323,8.1,0.6742,0.83,23.2767,1.1817,356763.7184
141,605089.SH,20220323,60.26,4.0843,0.55,48.1877,5.2835,150650.0
142,600908.SH,20220323,5.46,0.8403,0.84,7.7498,0.7882,962980.1918
143,600893.SH,20220323,46.17,1.5178,1.72,107.3927,3.3614,10754225.2311
144,603087.SH,20220323,53.34,1.2489,0.86,24.3376,3.1255,1559731.262
145,603559.SH,20220323,14.15,14.0892,0.86,,2.4363,202788.1879
146,300180.SZ,20220323,4.86,2.1446,0.76,,1.6343,691764.3037
147,605339.SH,20220323,24.59,1.3443,0.52,28.5447,3.2877,156218.8241
148,601000.SH,20220323,2.76,0.595,0.56,8.8763,0.9019,1635556.2975
149,002262.SZ,20220323,12.45,0.5869,0.81,17.212,2.5471,1098056.1049
150,002255.SZ,20220323,6.16,6.9453,3.77,6.5678,1.6614,396795.8351
151,002059.SZ,20220323,6.62,2.8907,0.48,42.0647,2.7906,483784.6853
152,301006.SZ,20220323,22.57,2.037,0.77,18.0372,3.019,78588.74
153,002793.SZ,20220323,8.55,0.3864,0.57,30.8167,2.8542,327850.587
154,688025.SH,20220323,51.87,4.1012,1.16,108.7404,2.8531,281215.7778
155,002830.SZ,20220323,12.21,5.7271,0.51,72.7005,2.5275,81626.9025
156,002341.SZ,20220323,4.11,0.9603,0.59,,1.3666,366429.5575
157,601515.SH,20220323,6.25,0.3872,0.41,17.5319,1.6769,834014.6
158,002696.SZ,20220323,6.12,1.7589,0.58,96.0357,1.5644,211696.2994
159,002900.SZ,20220323,16.16,1.4417,0.68,174.4686,2.2339,275485.0548
160,002741.SZ,20220323,17.84,0.7827,0.46,194.2048,4.507,603188.6378
161,603656.SH,20220323,11.85,0.4357,0.78,41.8787,1.8673,178308.846
162,600033.SH,20220323,2.86,0.1556,0.43,17.3568,0.7638,784898.4
163,688398.SH,20220323,37.44,1.0557,0.72,32.0851,3.2925,137404.8
164,300498.SZ,20220323,21.76,0.6821,0.82,18.6127,3.9373,10290100.2872
165,601168.SH,20220323,14.8,1.7129,0.63,38.8508,2.7779,3526840.0
166,688133.SH,20220323,148.0,1.2587,1.0,109.8165,7.141,683842.4804
167,002648.SZ,20220323,43.0,0.3562,0.62,12.3138,3.8199,7373169.1027
168,002785.SZ,20220323,18.54,1.6856,0.68,306.6679,5.788,301892.1336
169,300209.SZ,20220323,5.94,1.7344,0.68,,1.2841,222851.6768
170,600037.SH,20220323,8.68,1.3927,0.86,73.6997,0.9416,1208063.2033
171,002247.SZ,20220323,2.99,8.0033,0.94,15.3457,3.7713,192492.6859
172,688232.SH,20220323,39.17,3.1717,1.18,31.5049,2.4873,263029.2527
173,601689.SH,20220323,58.36,0.7,0.57,102.3804,6.0448,6431543.7942
174,300705.SZ,20220323,25.4,1.6887,0.79,72.4663,5.991,362941.5728
175,002624.SZ,20220323,13.51,3.6562,1.4,16.9254,2.4188,2468596.9722
176,000987.SZ,20220323,8.05,0.4634,0.83,6.4828,1.1903,2991391.369
177,002698.SZ,20220323,10.67,0.1776,0.73,26.9151,3.9127,845232.9627
178,300671.SZ,20220323,97.61,10.029,1.05,210.5219,8.8615,1993906.6544
179,000678.SZ,20220323,5.3,2.6778,0.96,,2.2544,243594.2524
180,002321.SZ,20220323,2.73,0.2736,0.94,,4.3608,581397.4557
181,002872.SZ,20220323,5.43,1.3446,1.68,,0.7598,116765.7795
182,688696.SH,20220323,373.52,1.8573,1.33,69.4771,6.7493,1201731.7229
183,301190.SZ,20220323,24.99,2.4239,0.62,48.7891,2.7841,127178.0759
184,002156.SZ,20220323,17.63,0.5704,0.6,69.2346,2.2446,2342718.9827
185,000062.SZ,20220323,12.72,0.4575,0.88,15.0594,2.1594,1328671.3677
186,300556.SZ,20220323,28.27,24.1764,1.84,55.6844,4.5636,255396.1612
187,600995.SH,20220323,13.89,3.3847,1.4,421.8042,3.1098,664673.1696
188,300233.SZ,20220323,34.39,1.9541,0.5,,3.9545,1251369.1788
189,688579.SH,20220323,9.82,0.3266,0.75,43.0674,3.0823,274633.0922
190,300701.SZ,20220323,14.9,0.5349,1.08,16.6317,3.7815,268200.0
191,300847.SZ,20220323,13.82,1.2383,0.94,45.1332,3.613,208718.4682
192,002153.SZ,20220323,21.27,0.2966,0.6,,3.6812,1869158.2876
193,002410.SZ,20220323,50.05,0.301,0.49,180.2054,9.5455,4974090.7616
194,002929.SZ,20220323,30.88,2.0491,1.21,29.592,2.0836,520404.0173
195,002489.SZ,20220323,3.61,2.0058,0.67,14.8137,2.1156,679207.7372
196,002283.SZ,20220323,7.86,0.6426,0.43,16.5461,1.6191,782323.7412
197,002583.SZ,20220323,5.55,1.9812,1.09,105.7649,1.6735,603612.9612
198,300040.SZ,20220323,8.11,2.4601,0.82,67.97,2.1698,369255.2957
199,831445.BJ,20220323,14.45,0.1975,0.85,24.8166,4.2591,97284.4502
200,688310.SH,20220323,28.84,1.2849,0.67,40.8151,3.1415,109101.72
201,000796.SZ,20220323,10.1,6.2042,0.65,,11.9253,810609.4693
202,002948.SZ,20220323,3.85,0.3004,0.65,9.3599,0.8396,1161966.8407
203,300611.SZ,20220323,10.09,2.5629,1.44,44.8682,2.5655,122836.1019
204,300951.SZ,20220323,67.98,0.7204,0.68,33.165,2.9416,258324.0
205,688011.SH,20220323,26.02,1.0417,1.07,107.5523,2.1095,108845.6749
206,000585.SZ,20220323,1.26,1.618,0.87,17.2008,,76787.0432
207,600189.SH,20220323,6.65,0.5531,0.6,57.3407,3.0342,465378.5876
208,600255.SH,20220323,2.47,1.4635,0.66,75.5204,3.53,437089.6081
209,688136.SH,20220323,29.79,7.0226,0.53,42.5429,3.1082,193442.2319
210,688668.SH,20220323,52.81,1.6103,0.55,61.819,5.5765,167908.8194
211,000723.SZ,20220323,14.18,7.3111,2.03,85.9485,5.1048,5629784.722
212,688037.SH,20220323,167.28,2.734,0.53,182.0001,15.6898,749594.226
213,002832.SZ,20220323,25.65,0.5776,0.79,29.3464,4.8016,998857.8985
214,605499.SH,20220323,142.2,1.6802,0.9,47.6809,13.4214,568942.2
215,600630.SH,20220323,5.19,0.5954,0.6,,1.4249,220503.1688
216,600807.SH,20220323,4.51,3.1605,0.86,,15.0879,354945.3273
217,601328.SH,20220323,4.89,0.235,0.53,4.6394,0.4719,19193672.5033
218,600559.SH,20220323,21.54,2.6543,0.81,61.8277,5.4013,1932757.1544
219,300420.SZ,20220323,3.07,1.0109,0.76,23.0924,1.3016,318326.579
220,600466.SH,20220323,2.11,7.7749,1.51,1.9391,0.7626,640370.3218
221,300639.SZ,20220323,31.69,2.7851,0.6,25.6809,3.1735,915290.9472
222,688100.SH,20220323,22.25,0.8809,0.56,32.5831,4.2746,371470.1291
223,600596.SH,20220323,27.5,4.5495,0.78,8.4784,2.5164,2021773.5615
224,300961.SZ,20220323,17.27,2.514,0.94,33.1254,2.8974,76548.377
225,600519.SH,20220323,1752.19,0.4622,1.24,47.1354,12.6247,220109722.3182
226,300296.SZ,20220323,7.53,1.0133,0.62,,2.4936,1570345.4057
227,601567.SH,20220323,10.06,1.2207,0.58,14.7412,1.6043,1394888.4673
228,605336.SH,20220323,25.56,1.294,0.62,18.7248,1.9842,114508.8
229,002445.SZ,20220323,2.48,0.3882,0.68,45.188,2.8768,574323.7265
230,002397.SZ,20220323,3.54,2.1832,1.43,59.576,1.4987,168059.1165
231,300083.SZ,20220323,12.18,1.5688,0.69,37.5796,5.867,1608112.6585
232,300854.SZ,20220323,26.18,3.6517,0.47,26.2071,2.8126,64926.4
233,600560.SH,20220323,10.15,3.0183,0.58,59.6486,2.7369,227000.1825
234,301180.SZ,20220323,22.65,4.3597,1.35,77.1647,13.5448,85088.6888
235,000903.SZ,20220323,3.22,0.3529,0.61,28.0503,1.0959,634597.876
236,301235.SZ,20220323,58.5,32.6399,1.46,117.4341,4.1395,136081.7523
237,002547.SZ,20220323,4.2,12.677,8.83,,3.3434,343795.7027
238,601965.SH,20220323,15.49,0.3968,1.1,27.4404,2.7971,1497957.3009
239,600306.SH,20220323,15.41,0.2185,0.7,,77.0801,273485.1934
240,603729.SH,20220323,14.35,4.2413,1.7,,1.7758,133940.03
241,000995.SZ,20220323,14.73,4.7372,1.08,78.0444,21.9379,261321.984
242,002357.SZ,20220323,5.74,2.5873,0.87,23.1783,1.35,179902.1323
243,603701.SH,20220323,9.13,0.7707,0.7,37.5845,3.2446,238623.4156
244,300864.SZ,20220323,37.27,1.107,0.57,25.7629,3.1154,84975.6
245,600403.SH,20220323,5.34,0.6249,1.15,,1.9972,1276693.8227
246,601966.SH,20220323,23.31,1.2489,1.04,14.4046,1.9182,3173426.8988
247,603444.SH,20220323,354.28,0.8202,0.62,24.3311,6.002,2546024.4339
248,002388.SZ,20220323,5.33,0.6487,0.6,38.8129,1.9411,257601.9274
249,688788.SH,20220323,83.66,0.9954,0.85,35.6894,2.1437,387471.7418
250,002256.SZ,20220323,3.5,3.4656,0.76,118.402,4.8311,486918.739
251,002896.SZ,20220323,19.55,0.4972,0.65,28.9498,2.785,203320.0
252,000767.SZ,20220323,3.74,0.8395,0.71,50.9125,1.4669,1089178.6845
253,600123.SH,20220323,12.77,4.0613,0.88,38.9333,1.1176,1458844.8
254,000631.SZ,20220323,3.5,0.3659,2.1,34.2897,1.374,851381.7088
255,300602.SZ,20220323,15.95,0.828,0.83,38.7841,3.1818,496104.1219
256,002097.SZ,20220323,7.47,0.4819,0.73,14.3761,1.4195,727818.5997
257,603669.SH,20220323,7.8,0.3225,0.97,35.1438,4.0834,562557.6294
258,300826.SZ,20220323,18.61,1.9266,0.63,28.7032,2.0811,94636.2122
259,688598.SH,20220323,251.5,2.2282,0.94,40.2524,10.8847,1616053.314
260,688266.SH,20220323,37.06,0.7615,0.53,,7.2235,521502.105
261,603195.SH,20220323,132.18,0.6467,0.62,34.349,7.3693,999294.2031
262,603200.SH,20220323,20.08,1.6707,0.57,72.097,3.0445,251595.4503
263,601366.SH,20220323,6.35,0.3532,0.69,38.244,1.2484,529619.6786
264,600588.SH,20220323,24.59,0.8642,0.7,119.3891,6.9007,7970614.6171
265,002855.SZ,20220323,9.25,2.377,0.35,22.6718,1.6419,227540.0396
266,002865.SZ,20220323,91.06,2.4568,0.8,,12.2297,1257978.0647
267,002012.SZ,20220323,5.55,1.1263,0.95,28.0311,1.8151,258928.3908
268,000785.SZ,20220323,4.41,0.2598,0.74,21.1295,1.5417,1213375.6771
269,603823.SH,20220323,13.22,0.1683,0.61,16.1907,2.1787,416430.0
270,002371.SZ,20220323,300.39,0.9231,0.6,294.1734,9.9358,13891843.5999
271,601669.SH,20220323,7.28,1.4091,0.8,13.9445,1.1409,8113124.3211
272,837212.BJ,20220323,11.38,0.3127,0.26,30.4543,3.2323,33584.656
273,002225.SZ,20220323,3.86,0.4739,0.78,12.9938,1.2756,313794.0356
274,002644.SZ,20220323,11.16,4.4945,0.78,61.1087,3.5297,569893.212
275,002998.SZ,20220323,7.86,0.3546,0.51,18.979,1.7339,119480.9604
276,603227.SH,20220323,6.07,0.788,0.52,41.5684,2.7128,399830.9
277,603368.SH,20220323,18.3,6.6537,1.4,9.3172,1.2688,661483.3985
278,002292.SZ,20220323,5.03,1.1151,0.65,,1.9975,429439.5034
279,000736.SZ,20220323,8.65,5.3923,2.4,17.3113,1.9862,601550.141
280,002480.SZ,20220323,5.6,6.9708,1.53,,1.7973,361058.9058
281,603088.SH,20220323,11.02,4.1674,1.21,50.2838,6.5185,338675.456
282,002995.SZ,20220323,26.16,2.6536,0.85,22.7788,2.1974,107922.4862
283,002352.SZ,20220323,47.2,0.5389,0.8,31.6094,2.9842,21306162.4065
284,688312.SH,20220323,22.12,0.3191,0.49,31.1621,2.4146,148085.4434
285,300577.SZ,20220323,15.7,0.8278,0.67,48.2937,2.431,202953.3945
286,000912.SZ,20220323,5.94,2.1672,0.94,24.4555,1.5841,931392.0
287,600094.SH,20220323,4.14,2.722,0.98,22.8659,0.7717,942514.4543
288,002778.SZ,20220323,16.95,1.2897,0.77,28.3868,3.7055,211456.8435
289,300894.SZ,20220323,33.91,1.6953,1.15,49.9042,9.984,476096.4
290,000011.SZ,20220323,11.2,1.5209,1.48,8.3586,1.5677,589652.6082
291,600941.SH,20220323,64.55,1.894,0.98,12.7875,1.1544,2585859.2315
292,002918.SZ,20220323,18.44,2.0015,0.65,13.5046,2.0555,395851.3712
293,002592.SZ,20220323,5.34,2.0552,1.02,,1.6639,139521.934
294,002396.SZ,20220323,23.03,3.3774,1.47,31.1395,2.9051,1343294.4802
295,300304.SZ,20220323,5.67,0.9685,0.81,21.0437,2.0685,478474.1392
296,300935.SZ,20220323,49.1,1.7187,0.49,50.0521,2.9403,151872.2902
297,831832.BJ,20220323,15.8,1.2335,1.08,39.5694,2.0117,60399.3663
298,300877.SZ,20220323,21.11,1.1324,0.66,9.1728,1.5683,119902.5835
299,600822.SH,20220323,8.17,0.4323,0.77,35.379,4.3306,323652.8408
300,000637.SZ,20220323,5.28,7.7462,1.93,188.6478,2.8926,194304.9351
