,ts_code,symbol,name,area,industry,list_date
0,000001.SZ,000001,平安银行,深圳,银行,19910403
1,000002.SZ,000002,万科A,深圳,全国地产,19910129
2,000004.SZ,000004,国华网安,深圳,软件服务,19910114
3,000006.SZ,000006,深振业A,深圳,区域地产,19920427
4,000008.SZ,000008,神州高铁,北京,运输设备,19920507
5,000009.SZ,000009,中国宝安,深圳,综合类,19910625
6,000010.SZ,000010,美丽生态,深圳,建筑工程,19951027
7,000011.SZ,000011,深物业A,深圳,区域地产,19920330
8,000012.SZ,000012,南玻A,深圳,玻璃,19920228
9,000014.SZ,000014,沙河股份,深圳,全国地产,19920602
10,000016.SZ,000016,深康佳A,深圳,家用电器,19920327
11,000017.SZ,000017,深中华A,深圳,文教休闲,19920331
12,000019.SZ,000019,深粮控股,深圳,其他商业,19921012
13,000020.SZ,000020,深华发A,深圳,元器件,19920428
14,000021.SZ,000021,深科技,深圳,IT设备,19940202
15,000023.SZ,000023,深天地A,深圳,其他建材,19930429
16,000025.SZ,000025,特力A,深圳,汽车服务,19930621
17,000026.SZ,000026,飞亚达,深圳,其他商业,19930603
18,000027.SZ,000027,深圳能源,深圳,火力发电,19930903
19,000028.SZ,000028,国药一致,深圳,医药商业,19930809
20,000029.SZ,000029,深深房A,深圳,区域地产,19930915
21,000030.SZ,000030,富奥股份,吉林,汽车配件,19930929
22,000031.SZ,000031,大悦城,深圳,全国地产,19931008
23,000032.SZ,000032,深桑达A,深圳,元器件,19931028
24,000034.SZ,000034,神州数码,深圳,综合类,19940509
25,000035.SZ,000035,中国天楹,江苏,环境保护,19940408
26,000036.SZ,000036,华联控股,深圳,全国地产,19940617
27,000037.SZ,000037,深南电A,深圳,火力发电,19940701
28,000038.SZ,000038,深大通,深圳,广告包装,19940808
29,000039.SZ,000039,中集集团,深圳,轻工机械,19940408
30,000040.SZ,000040,东旭蓝天,深圳,新型电力,19940808
31,000042.SZ,000042,中洲控股,深圳,全国地产,19940921
32,000045.SZ,000045,深纺织A,深圳,元器件,19940815
33,000046.SZ,000046,泛海控股,北京,保险,19940912
34,000048.SZ,000048,京基智农,深圳,饲料,19941101
35,000049.SZ,000049,德赛电池,深圳,电气设备,19950320
36,000050.SZ,000050,深天马A,深圳,元器件,19950315
37,000055.SZ,000055,方大集团,深圳,其他建材,19960415
38,000056.SZ,000056,皇庭国际,深圳,房产服务,19960708
39,000058.SZ,000058,深赛格,深圳,元器件,19961226
40,000059.SZ,000059,华锦股份,辽宁,石油加工,19970130
41,000060.SZ,000060,中金岭南,深圳,铅锌,19970123
42,000061.SZ,000061,农产品,深圳,农业综合,19970110
43,000062.SZ,000062,深圳华强,深圳,批发业,19970130
44,000063.SZ,000063,中兴通讯,深圳,通信设备,19971118
45,000065.SZ,000065,北方国际,北京,建筑工程,19980605
46,000066.SZ,000066,中国长城,深圳,IT设备,19970626
47,000068.SZ,000068,华控赛格,深圳,环境保护,19970611
48,000069.SZ,000069,华侨城A,深圳,旅游景点,19970910
49,000070.SZ,000070,特发信息,深圳,通信设备,20000511
50,000078.SZ,000078,海王生物,深圳,医药商业,19981218
51,000088.SZ,000088,盐田港,深圳,港口,19970728
52,000089.SZ,000089,深圳机场,深圳,机场,19980420
53,000090.SZ,000090,天健集团,深圳,建筑工程,19990721
54,000096.SZ,000096,广聚能源,深圳,石油贸易,20000724
55,000099.SZ,000099,中信海直,深圳,空运,20000731
56,000100.SZ,000100,TCL科技,广东,元器件,20040130
57,000150.SZ,000150,宜华健康,广东,医疗保健,20000807
58,000151.SZ,000151,中成股份,北京,商贸代理,20000906
59,000153.SZ,000153,丰原药业,安徽,化学制药,20000920
60,000155.SZ,000155,川能动力,四川,新型电力,20000926
61,000156.SZ,000156,华数传媒,浙江,影视音像,20000906
62,000157.SZ,000157,中联重科,湖南,工程机械,20001012
63,000158.SZ,000158,常山北明,河北,软件服务,20000724
64,000159.SZ,000159,国际实业,新疆,石油贸易,20000926
65,000166.SZ,000166,申万宏源,新疆,证券,20150126
66,000301.SZ,000301,东方盛虹,江苏,化纤,20000529
67,000333.SZ,000333,美的集团,广东,家用电器,20130918
68,000338.SZ,000338,潍柴动力,山东,汽车配件,20070430
69,000400.SZ,000400,许继电气,河南,电气设备,19970418
70,000401.SZ,000401,冀东水泥,河北,水泥,19960614
71,000402.SZ,000402,金融街,北京,全国地产,19960626
72,000403.SZ,000403,派林生物,山西,生物制药,19960628
73,000404.SZ,000404,长虹华意,江西,专用机械,19960619
74,000407.SZ,000407,胜利股份,山东,供气供热,19960703
75,000408.SZ,000408,藏格控股,青海,农药化肥,19960628
76,000409.SZ,000409,云鼎科技,山东,软件服务,19960627
77,000411.SZ,000411,英特集团,浙江,医药商业,19960716
78,000413.SZ,000413,东旭光电,河北,元器件,19960925
79,000415.SZ,000415,渤海租赁,新疆,多元金融,19960716
80,000416.SZ,000416,民生控股,山东,多元金融,19960719
81,000417.SZ,000417,合肥百货,安徽,百货,19960812
82,000419.SZ,000419,通程控股,湖南,百货,19960816
83,000420.SZ,000420,吉林化纤,吉林,化纤,19960802
84,000421.SZ,000421,南京公用,江苏,供气供热,19960806
85,000422.SZ,000422,湖北宜化,湖北,农药化肥,19960815
86,000423.SZ,000423,东阿阿胶,山东,中成药,19960729
87,000425.SZ,000425,徐工机械,江苏,工程机械,19960828
88,000426.SZ,000426,兴业矿业,内蒙,铅锌,19960828
89,000428.SZ,000428,华天酒店,湖南,酒店餐饮,19960808
90,000429.SZ,000429,粤高速A,广东,路桥,19980220
