,ts_code,symbol,name,area,industry,list_date
105,000554.SZ,000554,泰山石油,山东,石油贸易,19931215
106,000555.SZ,000555,神州信息,深圳,系统软件,19940408
107,000559.SZ,000559,万向钱潮,浙江,汽车配件,19940110
108,000561.SZ,000561,烽火电子,陕西,通信应用,19940509
109,000565.SZ,000565,渝三峡A,重庆,染料涂料,19940408
110,000566.SZ,000566,海南海药,海南,化学制药,19940525
111,000567.SZ,000567,海德股份,海南,多元金融,19940525
112,000570.SZ,000570,苏常柴A,江苏,机械基件,19940701
113,000572.SZ,000572,海马汽车,海南,汽车整车,19940808
114,000576.SZ,000576,甘化科工,广东,食品综合,19940907
115,000581.SZ,000581,威孚高科,江苏,汽车配件,19980924
116,000582.SZ,000582,北部湾港,广西,港口,19951102
117,000584.SZ,000584,哈工智能,江苏,专用机械,19951128
118,000586.SZ,000586,汇源通信,四川,通信传输,19951220
119,000589.SZ,000589,贵州轮胎,贵州,汽车配件,19960308
120,000590.SZ,000590,启迪药业,湖南,中成药,19960119
121,000591.SZ,000591,太阳能,重庆,新型电力,19960208
122,000593.SZ,000593,大通燃气,四川,燃气,19960312
123,000597.SZ,000597,东北制药,辽宁,化学制药,19960523
124,000598.SZ,000598,兴蓉环境,四川,环保工程,19960529
125,000599.SZ,000599,青岛双星,山东,汽车配件,19960430
126,000600.SZ,000600,建投能源,河北,火力发电,19960606
127,000601.SZ,000601,韶能股份,广东,水力发电,19960830
128,000603.SZ,000603,盛达资源,北京,铅锌,19960823
129,000605.SZ,000605,渤海股份,北京,环保工程,19960913
130,000610.SZ,000610,西安旅游,陕西,旅游服务,19960926
131,000612.SZ,000612,焦作万方,河南,铝,19960926
132,000615.SZ,000615,奥园美谷,湖北,全国地产,19961016
133,000617.SZ,000617,中油资本,新疆,多元金融,19961022
134,000619.SZ,000619,海螺型材,安徽,其它建材,19961023
135,000623.SZ,000623,吉林敖东,吉林,中成药,19961028
136,000625.SZ,000625,长安汽车,重庆,汽车整车,19970610
137,000626.SZ,000626,远大控股,江苏,贸易,19961128
138,000628.SZ,000628,高新发展,四川,园区开发,19961118
139,000633.SZ,000633,合金投资,新疆,综合类,19961112
140,000635.SZ,000635,英力特,宁夏,合成树脂,19961120
141,000636.SZ,000636,风华高科,广东,无源器件,19961129
142,000637.SZ,000637,茂化实华,广东,石油加工,19961114
143,000639.SZ,000639,西王食品,山东,食品综合,19961126
144,000650.SZ,000650,仁和药业,江西,中成药,19961210
145,000651.SZ,000651,格力电器,广东,白色家电,19961118
146,000652.SZ,000652,泰达股份,天津,贸易,19961128
147,000655.SZ,000655,金岭矿业,山东,铁矿,19961128
148,000656.SZ,000656,金科股份,重庆,区域地产,19961128
149,000657.SZ,000657,中钨高新,海南,稀有金属,19961205
150,000659.SZ,000659,珠海中富,广东,包装印刷,19961203
151,000663.SZ,000663,永安林业,福建,林业,19961206
152,000666.SZ,000666,经纬纺机,北京,多元金融,19961210
153,000668.SZ,000668,荣丰控股,山东,区域地产,19961210
154,000672.SZ,000672,上峰水泥,甘肃,水泥,19961218
155,000676.SZ,000676,智度股份,河南,数字营销,19961224
156,000678.SZ,000678,襄阳轴承,湖北,机械基件,19970106
157,000679.SZ,000679,大连友谊,辽宁,百货,19970124
158,000680.SZ,000680,山推股份,山东,工程机械,19970122
159,000681.SZ,000681,视觉中国,江苏,互联服务,19970121
160,000682.SZ,000682,东方电子,山东,行业软件,19970121
161,000683.SZ,000683,远兴能源,内蒙,纯碱,19970131
