,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,300606.SZ,20210812,18.4,18.44,18.04,18.3,18.4,-0.1,-0.5435,7200.0,13133.88
1,300606.SZ,20210811,18.04,18.43,17.99,18.4,18.04,0.36,1.9956,9570.32,17488.953
2,300606.SZ,20210810,17.64,18.26,17.59,18.04,17.63,0.41,2.3256,10058.32,18116.383
3,300606.SZ,20210809,17.27,17.68,17.27,17.63,17.29,0.34,1.9665,6010.25,10548.359
4,300606.SZ,20210806,17.4,17.72,17.07,17.29,17.4,-0.11,-0.6322,5663.0,9814.045
5,300606.SZ,20210805,17.63,17.82,17.2,17.4,17.63,-0.23,-1.3046,5626.0,9854.424
6,300606.SZ,20210804,17.57,17.81,17.51,17.63,17.47,0.16,0.9159,6320.0,11151.211
7,300606.SZ,20210803,17.39,17.7,17.38,17.47,17.4,0.07,0.4023,6059.8,10633.882
8,300606.SZ,20210802,17.04,17.48,16.92,17.4,16.99,0.41,2.4132,5943.0,10242.391
9,300606.SZ,20210730,16.74,17.21,16.55,16.99,16.82,0.17,1.0107,6283.0,10679.103
10,300606.SZ,20210729,16.4,16.92,16.4,16.82,16.4,0.42,2.561,3974.8,6669.566
11,300606.SZ,20210728,16.81,17.02,16.24,16.4,16.91,-0.51,-3.016,7089.0,11694.596
12,300606.SZ,20210727,17.02,17.22,16.82,16.91,17.02,-0.11,-0.6463,6399.0,10904.473
13,300606.SZ,20210726,17.6,17.6,16.88,17.02,17.45,-0.43,-2.4642,10030.0,17164.608
14,300606.SZ,20210723,18.13,18.14,17.36,17.45,18.15,-0.7,-3.8567,11995.0,21151.496
15,300606.SZ,20210722,18.09,18.29,18.0,18.15,18.16,-0.01,-0.0551,5072.0,9201.071
16,300606.SZ,20210721,17.8,18.22,17.65,18.16,17.94,0.22,1.2263,6647.0,12021.245
17,300606.SZ,20210720,17.6,17.97,17.6,17.94,17.97,-0.03,-0.1669,4615.0,8196.836
18,300606.SZ,20210719,18.14,18.19,17.57,17.97,18.13,-0.16,-0.8825,4927.0,8775.208
19,300606.SZ,20210716,18.2,18.56,18.12,18.13,18.29,-0.16,-0.8748,3724.0,6796.215
20,300606.SZ,20210715,18.64,18.65,18.02,18.29,18.65,-0.36,-1.9303,7952.0,14494.29
21,300606.SZ,20210714,19.0,19.0,18.59,18.65,18.96,-0.31,-1.635,6808.0,12737.082
22,300606.SZ,20210713,19.3,19.3,18.83,18.96,19.18,-0.22,-1.147,9139.0,17364.287
23,300606.SZ,20210712,18.9,19.28,18.71,19.18,18.78,0.4,2.1299,10266.0,19503.445
24,300606.SZ,20210709,18.21,18.86,18.2,18.78,18.58,0.2,1.0764,7627.0,14205.643
25,300606.SZ,20210708,18.48,18.75,18.1,18.58,18.47,0.11,0.5956,7377.0,13585.705
26,300606.SZ,20210707,18.54,18.8,18.32,18.47,18.57,-0.1,-0.5385,6514.0,12066.312
27,300606.SZ,20210706,18.49,18.68,18.27,18.57,18.52,0.05,0.27,5012.0,9275.359
28,300606.SZ,20210705,17.97,18.54,17.97,18.52,17.97,0.55,3.0607,8201.0,15059.873
29,300606.SZ,20210702,17.78,18.16,17.78,17.97,17.96,0.01,0.0557,4133.0,7435.724
30,300606.SZ,20210701,18.29,18.4,17.9,17.96,18.29,-0.33,-1.8043,5407.0,9776.481
