,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,601608.SH,20210812,3.86,3.86,3.75,3.76,3.86,-0.1,-2.5907,375949.38,141796.326
1,601608.SH,20210811,3.77,3.88,3.76,3.86,3.79,0.07,1.847,480160.08,183548.827
2,601608.SH,20210810,3.76,3.82,3.73,3.79,3.79,0.0,0.0,303038.78,114534.708
3,601608.SH,20210809,3.76,3.93,3.75,3.79,3.74,0.05,1.3369,495393.42,188712.879
4,601608.SH,20210806,3.76,3.79,3.7,3.74,3.74,0.0,0.0,381384.54,142561.141
5,601608.SH,20210805,3.72,3.82,3.69,3.74,3.71,0.03,0.8086,693520.01,260354.875
6,601608.SH,20210804,3.78,3.85,3.61,3.72,3.77,-0.05,-1.3263,1032859.09,384324.474
7,601608.SH,20210803,3.5,3.77,3.49,3.77,3.43,0.34,9.9125,563201.03,208485.706
8,601608.SH,20210802,3.34,3.45,3.31,3.43,3.36,0.07,2.0833,272149.09,92466.954
9,601608.SH,20210730,3.33,3.37,3.23,3.36,3.34,0.02,0.5988,210083.67,69456.91
10,601608.SH,20210729,3.34,3.37,3.3,3.34,3.3,0.04,1.2121,230108.57,76530.479
11,601608.SH,20210728,3.5,3.52,3.3,3.3,3.51,-0.21,-5.9829,577513.33,195198.059
12,601608.SH,20210727,3.51,3.59,3.5,3.51,3.52,-0.01,-0.2841,304542.58,107767.964
13,601608.SH,20210726,3.61,3.62,3.51,3.52,3.58,-0.06,-1.676,321627.1,114358.03
14,601608.SH,20210723,3.51,3.7,3.5,3.58,3.53,0.05,1.4164,510340.98,184506.847
15,601608.SH,20210722,3.49,3.57,3.48,3.53,3.5,0.03,0.8571,197715.3,69776.728
16,601608.SH,20210721,3.5,3.55,3.49,3.5,3.52,-0.02,-0.5682,210507.44,73862.511
17,601608.SH,20210720,3.57,3.57,3.5,3.52,3.59,-0.07,-1.9499,286648.65,101053.548
18,601608.SH,20210719,3.62,3.66,3.56,3.59,3.63,-0.04,-1.1019,351858.88,126948.143
19,601608.SH,20210716,3.59,3.67,3.55,3.63,3.57,0.06,1.6807,459262.64,166729.944
20,601608.SH,20210715,3.46,3.71,3.43,3.57,3.45,0.12,3.4783,633409.3,225226.047
21,601608.SH,20210714,3.58,3.58,3.45,3.45,3.59,-0.14,-3.8997,436037.3,152272.636
22,601608.SH,20210713,3.58,3.64,3.54,3.59,3.58,0.01,0.2793,252750.08,90803.106
23,601608.SH,20210712,3.56,3.64,3.53,3.58,3.55,0.03,0.8451,465530.17,166879.567
24,601608.SH,20210709,3.48,3.6,3.47,3.55,3.51,0.04,1.1396,463772.93,163853.596
25,601608.SH,20210708,3.62,3.65,3.49,3.51,3.62,-0.11,-3.0387,530764.0,188614.915
26,601608.SH,20210707,3.66,3.66,3.57,3.62,3.67,-0.05,-1.3624,468102.53,169146.249
27,601608.SH,20210706,3.82,3.83,3.6,3.67,3.8,-0.13,-3.4211,878030.7,322488.538
28,601608.SH,20210705,3.86,3.98,3.73,3.8,3.88,-0.08,-2.0619,909952.32,347579.696
29,601608.SH,20210702,3.6,4.1,3.59,3.88,3.8,0.08,2.1053,1564487.2,600583.082
30,601608.SH,20210701,4.01,4.11,3.7,3.8,3.74,0.06,1.6043,1985480.82,782411.648
