xxxx,11周突破,--11周突破_周线开始=20211231-结束=20220311--中间值=3.88--周数=7--换手率=63.9----安凯客车**000868.SZ
xxxx,11周突破,--11周突破_周线开始=20211231-结束=20220311--中间值=2.8--周数=8--换手率=145.2----天保基建**000965.SZ
xxxx,11周突破,--11周突破_周线开始=20211231-结束=20220311--中间值=6.04--周数=7--换手率=283.2----桂林旅游--强势股票**000978.SZ
xxxx,11周突破,--11周突破_周线开始=20211231-结束=20220311--中间值=9.81--周数=9--换手率=90.5----云南能投--强势股票**002053.SZ
xxxx,11周突破,--11周突破_周线开始=20211231-结束=20220311--中间值=3.59--周数=9--换手率=84.0----新野纺织**002087.SZ
xxxx,11周突破,--11周突破_周线开始=20211231-结束=20220311--中间值=6.71--周数=10--换手率=104.2----国脉科技--小树股票池**002093.SZ
xxxx,11周突破,--11周突破_周线开始=20211231-结束=20220311--中间值=5.02--周数=10--换手率=441.3----广博股份**002103.SZ
xxxx,11周突破,--11周突破_周线开始=20211231-结束=20220311--中间值=8.23--周数=9--换手率=194.9----三变科技**002112.SZ
xxxx,11周突破,--11周突破_周线开始=20211231-结束=20220311--中间值=8.42--周数=9--换手率=106.0----东港股份**002117.SZ
xxxx,11周突破,--11周突破_周线开始=20211231-结束=20220311--中间值=3.31--周数=6--换手率=260.2----广宇集团**002133.SZ
xxxx,11周突破,--11周突破_周线开始=20211231-结束=20220311--中间值=5.4--周数=9--换手率=332.4----北纬科技**002148.SZ
xxxx,11周突破,--11周突破_周线开始=20211231-结束=20220311--中间值=6.82--周数=8--换手率=96.6----达意隆**002209.SZ
xxxx,11周突破,--11周突破_周线开始=20211231-结束=20220311--中间值=8.93--周数=7--换手率=282.1----北化股份**002246.SZ
xxxx,11周突破,--11周突破_周线开始=20211231-结束=20220311--中间值=5.0--周数=8--换手率=181.7----久其软件**002279.SZ
xxxx,11周突破,--11周突破_周线开始=20211231-结束=20220311--中间值=4.3--周数=6--换手率=142.5----北新路桥**002307.SZ
xxxx,11周突破,--11周突破_周线开始=20211231-结束=20220311--中间值=10.66--周数=7--换手率=311.9----众生药业**002317.SZ
xxxx,11周突破,--11周突破_周线开始=20211231-结束=20220311--中间值=4.5--周数=6--换手率=398.0----台海核电**002366.SZ
xxxx,11周突破,--11周突破_周线开始=20211231-结束=20220311--中间值=7.08--周数=8--换手率=127.1----合众思壮**002383.SZ
xxxx,11周突破,--11周突破_周线开始=20211231-结束=20220311--中间值=21.39--周数=7--换手率=81.5----力生制药**002393.SZ
xxxx,11周突破,--11周突破_周线开始=20211231-结束=20220311--中间值=2.76--周数=7--换手率=167.7----誉衡药业**002437.SZ
xxxx,11周突破,--11周突破_周线开始=20211231-结束=20220311--中间值=8.95--周数=8--换手率=336.0----青龙管业**002457.SZ
xxxx,11周突破,--11周突破_周线开始=20211231-结束=20220311--中间值=4.66--周数=6--换手率=100.2----二六三**002467.SZ
xxxx,11周突破,--11周突破_周线开始=20211231-结束=20220311--中间值=6.78--周数=6--换手率=207.4----榕基软件**002474.SZ
xxxx,11周突破,--11周突破_周线开始=20211231-结束=20220311--中间值=5.87--周数=10--换手率=144.9----恒基达鑫**002492.SZ
xxxx,11周突破,--11周突破_周线开始=20211231-结束=20220311--中间值=3.71--周数=10--换手率=78.6----英飞拓**002528.SZ
xxxx,11周突破,--11周突破_周线开始=20211231-结束=20220311--中间值=5.58--周数=8--换手率=146.7----恒大高新**002591.SZ
xxxx,11周突破,--11周突破_周线开始=20211231-结束=20220311--中间值=3.92--周数=8--换手率=290.0----北玻股份**002613.SZ
xxxx,11周突破,--11周突破_周线开始=20211231-结束=20220311--中间值=6.01--周数=8--换手率=135.5----三峡旅游--强势股票**002627.SZ
xxxx,11周突破,--11周突破_周线开始=20211231-结束=20220311--中间值=8.53--周数=10--换手率=111.4----申科股份--强势股票**002633.SZ
xxxx,11周突破,--11周突破_周线开始=20211231-结束=20220311--中间值=3.53--周数=9--换手率=71.1----扬子新材**002652.SZ
xxxx,11周突破,--11周突破_周线开始=20211231-结束=20220311--中间值=6.58--周数=7--换手率=43.8----东易日盛**002713.SZ
xxxx,11周突破,--11周突破_周线开始=20211231-结束=20220311--中间值=9.34--周数=6--换手率=192.8----萃华珠宝**002731.SZ
