modecode,modename,info
a0,大盘亢龙有悔,000001.SH--大盘亢龙有悔成功了--20220311--code_name is null-000001.SH**000001.SH
a0,大盘亢龙有悔,000016.SH--大盘亢龙有悔成功了--20220311--code_name is null-000016.SH**000016.SH
a3,筹码突破,--筹码突破--20220311--持仓量_周线开始=20211231-结束=20220311--中间值=19.68--周数=7--换手率=368.2----京泉华**002885.SZ
a3,筹码突破,--筹码突破--20220311--持仓量_周线开始=20211231-结束=20220311--中间值=6.24--周数=7--换手率=303.7----金新农**002548.SZ
a3,筹码突破,--筹码突破--20220311--持仓量_周线开始=20211231-结束=20220311--中间值=6.8--周数=6--换手率=149.8----中水渔业**000798.SZ
a3,筹码突破,--筹码突破--20220311--持仓量_周线开始=20211231-结束=20220311--中间值=3.29--周数=7--换手率=114.9----code_name is null-000809.SZ**000809.SZ
a3,筹码突破,--筹码突破--20220311--持仓量_周线开始=20211231-结束=20220311--中间值=2.53--周数=7--换手率=103.8----code_name is null-600220.SH**600220.SH
a3,筹码突破,--筹码突破--20220311--持仓量_周线开始=20211231-结束=20220311--中间值=21.0--周数=7--换手率=101.3----上海洗霸**603200.SH
a3,筹码突破,--筹码突破--20220311--金财互联**002530.SZ
a3,筹码突破,--筹码突破--20220311--持仓量_周线开始=20211231-结束=20220311--中间值=3.86--周数=9--换手率=404.6----code_name is null-000889.SZ**000889.SZ
a3,筹码突破,--筹码突破--20220311--持仓量_周线开始=20211231-结束=20220311--中间值=5.33--周数=6--换手率=84.9----两面针**600249.SH
a3,筹码突破,--筹码突破--20220311--持仓量_周线开始=20211231-结束=20220311--中间值=7.82--周数=8--换手率=42.5----东方创业**600278.SH
a3,筹码突破,--筹码突破--20220311--持仓量_周线开始=20211231-结束=20220311--中间值=2.8--周数=8--换手率=145.2----code_name is null-000965.SZ**000965.SZ
a3,筹码突破,--筹码突破--20220311--持仓量_周线开始=20211231-结束=20220311--中间值=6.06--周数=8--换手率=83.3----大东方--强势股票**600327.SH
a3,筹码突破,--筹码突破--20220311--code_name is null-600358.SH**600358.SH
a3,筹码突破,--筹码突破--20220311--持仓量_周线开始=20211231-结束=20220311--中间值=6.21--周数=7--换手率=321.8----汉森制药**002412.SZ
a3,筹码突破,--筹码突破--20220311--持仓量_周线开始=20211231-结束=20220311--中间值=8.53--周数=8--换手率=263.2----青海春天**600381.SH
a3,筹码突破,--筹码突破--20220311--持仓量_周线开始=20211231-结束=20220311--中间值=5.4--周数=7--换手率=722.9----亚太药业**002370.SZ
a3,筹码突破,--筹码突破--20220311--持仓量_周线开始=20211231-结束=20220311--中间值=13.14--周数=6--换手率=207.9----科华生物**002022.SZ
a3,筹码突破,--筹码突破--20220311--持仓量_周线开始=20211231-结束=20220311--中间值=9.81--周数=9--换手率=90.5----云南能投--强势股票**002053.SZ
a3,筹码突破,--筹码突破--20220311--恒宝股份--强势股票**002104.SZ
a3,筹码突破,--筹码突破--20220311--持仓量_周线开始=20211231-结束=20220311--中间值=4.6--周数=9--换手率=47.2----苏州高新**600736.SH
a3,筹码突破,--筹码突破--20220311--曲江文旅**600706.SH
a3,筹码突破,--筹码突破--20220311--创新医疗**002173.SZ
