,trade_date,open,close,high,low
239,20241110,8.06,8.5,8.8,7.73
238,20241103,8.52,7.94,8.71,7.58
237,20241027,8.63,8.49,8.9,8.43
236,20241020,8.72,8.55,9.22,8.33
235,20241013,9.67,8.52,9.72,7.93
234,20241006,8.4,8.9,8.92,8.4
233,20240929,6.99,8.13,8.22,6.91
232,20240922,6.39,7.06,7.08,6.36
231,20240915,6.38,6.32,6.47,6.13
230,20240908,6.76,6.46,6.94,6.38
229,20240901,6.87,6.83,7.0,6.66
228,20240825,6.7,6.78,6.9,6.65
227,20240818,6.47,6.62,6.73,6.38
226,20240811,6.47,6.47,6.65,6.26
225,20240804,6.84,6.57,7.12,6.51
224,20240728,7.17,6.82,7.37,6.59
223,20240721,7.81,7.17,8.1,7.0
222,20240714,7.61,7.83,8.2,7.26
221,20240707,7.56,7.6,7.82,7.39
220,20240630,7.32,7.54,7.59,7.22
219,20240623,7.53,7.49,7.69,7.31
218,20240616,7.54,7.64,7.82,7.48
217,20240609,7.98,7.83,8.1,7.66
216,20240602,7.52,8.09,8.67,7.51
215,20240526,7.85,7.48,8.43,7.41
214,20240519,7.66,7.68,7.85,7.47
213,20240512,7.34,7.81,7.95,7.07
212,20240505,7.41,7.33,7.59,7.21
211,20240428,7.3,7.44,7.53,6.78
210,20240421,7.46,7.21,7.51,7.06
209,20240414,7.4,7.33,7.64,6.98
208,20240407,7.4,7.4,7.43,7.06
207,20240331,6.82,7.31,7.32,6.81
206,20240324,6.69,6.82,6.97,6.48
205,20240317,6.55,6.65,6.66,6.18
204,20240310,6.08,6.58,6.6,6.04
203,20240303,6.03,6.05,6.13,5.84
202,20240225,5.69,6.09,6.13,5.64
201,20240211,5.37,5.63,5.7,5.32
200,20240204,5.78,5.47,5.88,5.3
199,20240128,5.17,5.66,5.73,4.84
198,20240121,5.41,5.2,5.5,5.03
197,20240114,5.45,5.45,5.54,5.35
196,20240107,5.6,5.49,5.63,5.45
195,20231231,5.27,5.57,5.58,5.24
194,20231224,5.02,5.33,5.37,4.98
193,20231217,5.11,5.05,5.23,5.01
192,20231210,5.53,5.17,5.61,5.14
191,20231203,5.58,5.52,5.62,5.42
190,20231126,5.78,5.59,5.86,5.55
189,20231119,5.6,5.75,5.98,5.54
188,20231112,6.0,5.61,6.02,5.57
187,20231105,5.98,5.96,6.28,5.94
186,20231029,5.82,5.97,6.08,5.55
185,20231022,6.06,5.84,6.1,5.83
184,20231015,6.17,6.04,6.27,6.02
183,20231001,6.39,6.21,6.46,6.19
182,20230924,6.56,6.39,6.58,6.25
181,20230917,6.55,6.6,6.77,6.42
180,20230910,6.27,6.49,6.79,6.25
179,20230903,6.15,6.24,6.28,5.77
